日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,ATH,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-03-02,000544,中原环保,fit,压力释放,9.11-9.09-9.18-8.72,低-高-低,0.22%-0.99%-5.01%,19,3.32,1.76,9.21,2.68,265881.0,3.0,8.65,10,📈ema📈res📉adx📈rsi,no | no | 回补,8.49,8.48,100.0 | 93.98 | 1.06 | no,n 92｜s 00｜d 0.92%,3,绿暗[+0.01]-红亮[-0.03]-红暗[-0.02]-红暗[-0.00]-绿亮[+0.02]-绿亮[+0.07],低-低-低-高-高-高,是,否,75.58,8.47,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",环境治理,84.31,84.31,-0.11,-4.02,-3.26,-1.41,-1.63,-1.19,-0.11,0.76,-0.43,-2.39,-3.47,-3.37,-4.56,-4.13,-10.75,-8.47,-4.56,-5.75,-6.08,-7.27,-8.36,-7.27,-8.36,-13.36,,,,,,
2026-03-02,000709,河钢股份,fit,压力释放,2.65-2.7-2.62-2.63,高-低-高,1.89%-2.96%-0.38%,16,12.39,1.64,2.7,1.12,2053388.0,2.0,2.52,6,📈ema📈res📉adx🗒️rsi,no | no | 未补,2.39,12.97,100.0 | 84.97 | 1.18 | no,n 42｜s 00｜d 1.30%,4,绿暗[+0.01]-红亮[-0.02]-红亮[-0.03]-红暗[-0.02]-红暗[-0.01]-绿亮[+0.02],低-低-低-高-低-高,否,是,64.97,2.38,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",普钢,242.92,242.88,-3.33,-5.19,-5.19,-4.44,-5.56,-6.67,-5.93,-3.33,-2.22,-6.3,-5.56,-7.41,-10.37,-11.85,-16.67,-13.7,-12.22,-12.96,-12.96,-12.22,-13.7,-12.96,-14.44,-15.56,,,,,,
2026-03-02,000883,湖北能源,fit,压力释放,4.68-4.73-4.97-4.67,高-高-低,1.07%-5.07%-6.04%,19,3.78,2.29,4.82,1.47,617062.0,1.0,4.62,45,📈ema📈res📉adx🗒️rsi,bull | 0.21% | 回补,4.65,3.66,100.0 | 100.0 | 1.0 | no,n 89｜s 00｜d 0.64%,4,红暗[-0.00]-红亮[-0.02]-红亮[-0.02]-红暗[-0.01]-绿亮[+0.00]-绿亮[+0.03],低-低-低-低-高-高,否,否,69.14,4.61,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电力,369.54,338.23,-0.62,-1.04,-0.41,0.62,0.83,0.41,2.7,4.77,3.73,1.66,1.24,1.45,1.24,2.28,-0.21,5.81,9.13,9.96,8.3,3.53,-0.83,-1.24,-1.87,-4.56,,,,,,
2026-03-02,000932,华菱钢铁,fit,压力释放,6.9-6.64-6.34-6.45,低-低-高,3.77%-4.52%-1.74%,15,12.96,1.49,6.79,1.19,924597.0,1.0,6.28,5,📈ema📈res📉adx🗒️rsi,no | no | 未补,5.59,21.47,92.28 | 75.27 | 1.23 | no,n 67｜s 00｜d 1.73%,0,绿暗[+0.22]-绿暗[+0.12]-绿暗[+0.05]-绿亮[+0.06]-绿亮[+0.11]-绿亮[+0.17],低-低-低-高-高-高,否,是,67.56,5.6,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",普钢,355.65,355.65,-3.09,-5.6,-5.74,-5.74,-8.84,-9.57,-9.43,-6.92,-9.13,-13.84,-13.7,-15.91,-20.77,-22.83,-27.25,-24.89,-22.53,-24.74,-23.56,-22.97,-25.33,-24.74,-25.77,-27.1,,,,,,
2026-03-02,001339,智微智能,fit,压力释放,77.3-64.84-58.48-58.98,低-低-高,16.12%-9.81%-0.85%,17,13.42,1.72,63.36,3.77,209987.0,18.0,56.95,17,📈ema📈res📉adx📈rsi,bull | 0.64% | 回补,55.06,15.07,100.0 | 74.78 | 1.34 | no,n 90｜s 00｜d 2.24%,6,红暗[-1.63]-红暗[-1.63]-红亮[-1.68]-红亮[-1.96]-红暗[-1.19]-红暗[-0.12],低-低-低-低-高-高,是,否,71.03,53.66,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",计算机设备,154.38,73.07,2.48,3.01,3.55,4.69,15.15,22.95,19.22,14.58,15.59,12.94,8.14,11.27,12.42,4.2,-2.34,-1.26,1.1,-3.24,-3.41,-1.93,-5.78,-2.37,-6.91,-7.64,,,,,,
2026-03-02,002128,电投能源,fit,压力释放,23.33-30.08-29.14-31.58,高-低-高,28.93%-3.12%-8.37%,26,18.63,2.15,32.58,6.12,450653.0,2.0,28.9,19,📈ema📈res📉adx🗒️rsi,bull | 1.65% | 未补,24.14,34.96,94.11 | 80.81 | 1.16 | no,n 57｜s 00｜d 2.52%,5,红暗[-0.74]-红亮[-0.76]-红暗[-0.63]-红暗[-0.43]-红暗[-0.33]-绿亮[+0.05],低-低-低-低-低-低,是,是,66.3,23.44,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",煤炭开采,670.23,670.23,-0.09,1.04,3.96,2.12,2.12,-1.53,0.58,5.83,3.16,0.98,-3.44,-5.68,-9.27,-10.19,-10.16,-8.99,-7.4,-8.59,-8.23,-3.87,-7.7,-7.67,-5.56,-6.88,,,,,,
2026-03-02,002155,湖南黄金,fit,一直释放,24.0-25.51-23.68-39.5,高-低-高,6.29%-7.17%-66.81%,12,26.81,0.07,41.47,10.0,2653014.0,17.0,37.27,19,📈ema📈res📈adx📈rsi,bull | 11.36% | 未补,23.47,76.69,50.37 | 28.68 | 1.76 | no,n 06｜s 00｜d 41.41%,0,绿暗[+7.55]-绿暗[+6.61]-绿暗[+5.86]-绿暗[+5.08]-绿暗[+4.29]-绿暗[+4.00],低-低-低-低-低-低,是,是,74.24,21.37,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",贵金属,457.08,457.03,-1.9,-6.46,-11.09,-10.78,-10.8,-12.01,-14.44,-16.61,-20.47,-23.54,-23.92,-24.07,-28.62,-29.11,-34.17,-31.78,-30.24,-32.17,-29.47,-26.69,-25.49,-25.17,-29.27,-29.95,,,,,,
2026-03-02,002386,天原股份,fit,压力释放,5.69-6.5-5.73-6.22,高-低-高,14.24%-11.85%-8.55%,19,8.93,0.84,6.35,-1.55,432860.0,3.0,6.01,7,📈ema📈res📉adx🗒️rsi,no | no | 未补,5.41,17.38,86.84 | 87.35 | 0.99 | no,n 72｜s 00｜d 2.14%,0,绿暗[+0.11]-绿暗[+0.04]-绿亮[+0.05]-绿亮[+0.08]-绿亮[+0.09]-绿亮[+0.14],低-低-低-高-高-高,否,否,61.56,5.33,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学原料,82.13,82.12,-3.94,-5.04,-3.94,0.31,-0.16,-2.99,0.63,1.1,1.42,-1.26,-2.36,-3.46,-7.87,-10.87,-13.7,-12.44,-10.08,-9.61,-0.63,-3.78,-5.83,-7.24,-4.57,-11.02,,,,,,
2026-03-02,002536,飞龙股份,fit,压力释放,34.3-28.8-23.95-34.22,低-低-高,16.03%-16.84%-42.88%,39,27.5,1.42,34.65,10.0,694860.0,13.0,29.14,27,📈ema📈res📉adx🗒️rsi,no | no | 未补,25.09,38.1,93.82 | 85.93 | 1.09 | no,n 76｜s 00｜d 4.43%,0,绿亮[+0.58]-绿亮[+0.70]-绿亮[+0.76]-绿亮[+0.80]-绿亮[+1.29]-绿亮[+1.62],低-低-低-低-低-低,否,是,66.54,22.57,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",汽车零部件,168.01,159.13,-1.3,1.65,6.81,5.25,-0.06,9.93,18.04,14.14,8.43,1.82,-4.3,-0.14,-4.04,-9.58,-15.7,-15.5,-11.37,-15.73,-15.64,-15.64,-20.69,-17.0,-20.2,-20.26,,,,,,
2026-03-02,002749,国光股份,fit,压力释放,15.03-14.16-14.23-14.08,低-高-低,5.79%-0.49%-1.05%,15,7.4,1.37,14.37,1.48,63619.0,1.0,13.65,10,📈ema📈res📈adx🗒️rsi,no | no | 回补,14.37,0.0,94.43 | 82.32 | 1.15 | no,n 86｜s 00｜d 1.36%,0,绿暗[+0.16]-绿暗[+0.08]-绿暗[+0.08]-绿亮[+0.11]-绿亮[+0.16]-绿亮[+0.23],低-低-低-高-低-高,否,否,65.08,14.29,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",农化制品,60.58,58.93,-2.64,-2.37,-3.48,-1.04,-2.16,-2.51,-2.37,-2.3,-2.3,-4.04,-5.71,-5.92,-8.14,-9.32,-13.15,-11.2,-10.37,-10.72,-9.6,-7.59,-8.56,-8.63,-9.26,-10.79,,,,,,
