日期,代码,名称,条件,释放,PSQ,TSQ,RSQ,BSA,RPT,MZS,现价,涨幅(%),成交量,换手(%),止损,挤压,判断,FVG,AVWAP,BIAS,STO,分数,红色,动能,趋势,放量,RSI,EMA,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2024-09-26,000009,中国宝安,fit,压力释放,11.01-10.95-8.52-8.02,低-低-低,0.54%-22.19%-5.87%,13,13.44,1.85,8.2,4.06,275491.0,1.0,7.56,10,📉ema📈res📉adx🗒️rsi,bull | 0.64% | 回补,,,100.0 | 82.38 | 1.21 | no,n 62｜s 00｜d 1.42%,5,红亮[-0.03]-红暗[-0.02]-红亮[-0.03]-红亮[-0.05]-红暗[-0.01]-绿亮[+0.06],低-低-低-低-低-高,否,63.35,9.91,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",综合Ⅱ,234.71,234.42,6.22,16.83,25.85,16.95,14.63,7.68,9.15,6.59,5.12,2.8,7.2,6.59,7.8,9.88,7.56,18.41,23.05,16.59,21.95,32.07,24.39,23.29,25.61,28.78,28.66,27.44,31.71,28.41,27.2,23.05
2024-09-26,000026,飞亚达,fit,压力释放,10.28-8.92-8.71-8.97,低-低-高,13.23%-2.35%-2.99%,17,9.66,1.92,9.0,2.39,45494.0,1.0,8.56,32,📉ema📈res📉adx📈rsi,bull | 0.23% | 未补,,,100.0 | 88.42 | 1.13 | no,n 90｜s 00｜d 0.83%,5,红亮[-0.04]-红暗[-0.03]-红亮[-0.04]-红亮[-0.04]-红暗[-0.01]-绿亮[+0.02],低-低-低-低-低-低,否,70.56,9.16,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",饰品,58.19,52.28,3.67,11.44,17.22,6.22,7.33,3.44,4.89,2.56,2.78,1.44,4.56,4.22,8.44,6.56,8.78,11.67,13.0,10.44,10.33,15.89,11.22,13.11,15.44,15.0,16.44,15.22,15.33,13.44,14.44,11.44
2024-09-26,000088,盐 田 港,fit,压力释放,4.73-4.42-4.47-4.31,低-高-低,6.55%-1.13%-3.58%,12,7.48,3.31,4.42,2.79,116306.0,1.0,4.18,6,📈ema📈res📉adx📈rsi,no | no | 未补,,,100.0 | 98.94 | 1.01 | no,n 68｜s 20｜d 0.40%,4,红暗[-0.08]-红暗[-0.07]-红暗[-0.05]-红暗[-0.03]-绿亮[+0.01]-绿亮[+0.05],低-低-低-低-低-高,否,71.1,4.39,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",航运港口,238.14,144.86,1.81,10.63,14.48,5.43,7.47,6.33,6.56,4.07,5.2,2.71,4.75,2.94,4.3,5.2,4.75,7.01,8.82,6.33,6.56,7.01,5.66,7.24,9.5,8.37,10.63,10.18,10.18,9.95,9.73,7.47
2024-09-26,000157,中联重科,fit,一直释放,5.93-7.77-8.91-6.48,高-高-低,31.03%-14.67%-27.27%,25,19.56,2.72,6.53,5.15,726261.0,1.0,5.96,14,📉ema📈res📈adx🗒️rsi,bull | 1.15% | 回补,,,100.0 | 98.68 | 1.01 | no,n 23｜s 00｜d 5.20%,6,红暗[-0.46]-红暗[-0.40]-红暗[-0.37]-红暗[-0.31]-红暗[-0.19]-红暗[-0.07],低-低-低-低-低-低,否,67.43,6.83,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",工程机械,735.13,600.99,4.59,11.49,12.71,0.92,4.59,1.53,4.13,0.92,-0.15,-1.68,1.53,0.15,0.31,1.53,0.92,0.46,1.53,-1.38,-0.31,1.84,4.59,5.82,8.58,8.42,11.03,9.19,8.58,6.89,7.2,5.21
2024-09-26,000507,珠海港,fit,压力释放,5.06-4.51-4.61-4.51,低-高-低,10.87%-2.22%-2.17%,16,6.87,1.88,4.61,1.99,76715.0,1.0,4.41,10,📉ema📈res📉adx📈rsi,bull | 0.45% | 未补,,,100.0 | 97.7 | 1.02 | no,n 85｜s 00｜d 0.70%,1,红暗[-0.00]-绿亮[+0.01]-绿亮[+0.01]-绿亮[+0.02]-绿亮[+0.04]-绿亮[+0.06],低-低-低-低-低-高,否,70.52,4.76,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",电力,53.25,52.25,2.6,9.76,12.36,5.42,6.72,4.99,5.64,4.34,4.77,3.25,4.56,4.12,4.99,5.21,5.21,5.86,8.24,6.51,6.72,7.16,6.29,6.72,8.03,8.24,10.85,10.63,11.06,10.63,10.41,8.68
2024-09-26,000709,河钢股份,fit,一直释放,2.15-2.21-2.17-1.94,高-低-低,2.79%-1.81%-10.60%,37,20.5,4.17,1.94,5.43,1405093.0,1.0,1.77,43,📉ema📉res📈adx🗒️rsi,bull | 1.68% | 未补,,,100.0 | 98.1 | 1.02 | no,n 41｜s 00｜d 7.95%,6,红亮[-0.12]-红暗[-0.11]-红暗[-0.10]-红暗[-0.09]-红暗[-0.07]-红暗[-0.03],低-低-低-低-低-低,是,69.42,1.99,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",普钢,242.92,242.88,2.58,12.89,17.53,10.31,11.86,8.76,10.82,7.22,8.76,7.73,8.76,7.73,7.73,8.76,7.22,8.25,14.43,9.79,10.82,12.37,14.95,13.4,16.49,18.04,23.2,19.59,17.53,15.46,14.95,12.37
2024-09-26,000930,中粮科技,fit,一直释放,6.21-6.64-5.2-4.93,高-低-低,6.92%-21.69%-5.19%,14,11.54,1.81,5.22,4.19,213698.0,1.0,4.87,36,📉ema📈res📈adx📈rsi,bull | 1.63% | 回补,,,100.0 | 99.3 | 1.01 | no,n 42｜s 00｜d 6.01%,6,红亮[-0.23]-红暗[-0.19]-红暗[-0.16]-红暗[-0.14]-红暗[-0.08]-红暗[-0.00],低-低-低-低-低-高,否,70.03,5.77,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",农产品加工,128.09,128.09,2.49,10.92,17.24,6.13,16.67,13.98,20.88,13.03,9.58,11.3,12.26,12.26,13.03,12.26,13.03,13.98,14.94,11.69,11.11,11.69,9.96,9.77,11.88,16.09,18.01,15.71,15.71,14.94,14.94,11.88
2024-09-26,000950,重药控股,fit,压力释放,4.97-5.22-5.98-4.95,高-高-低,5.03%-14.56%-17.22%,32,10.49,1.59,5.21,2.76,277533.0,2.0,4.86,6,📈ema📈res📉adx📈rsi,bull | 1.83% | 回补,,,100.0 | 67.71 | 1.48 | no,n 69｜s 00｜d 1.02%,0,绿亮[+0.08]-绿亮[+0.08]-绿暗[+0.07]-绿暗[+0.04]-绿亮[+0.06]-绿亮[+0.09],低-低-低-低-低-高,否,73.13,4.96,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",医药商业,96.61,96.61,1.34,9.4,10.94,0.96,1.34,-0.96,0.38,-2.69,-0.58,-2.5,-0.77,-1.54,0.77,0.96,0.58,4.03,6.72,3.45,2.88,4.22,5.18,5.95,7.49,7.29,10.17,8.83,8.45,12.28,10.17,6.91
2024-09-26,000962,东方钽业,fit,压力释放,12.2-10.18-10.0-10.37,低-低-高,16.56%-1.77%-3.70%,15,10.67,1.08,10.54,3.13,109004.0,2.0,9.9,12,📉ema📈res📉adx🗒️rsi,no | no | 回补,,,98.11 | 90.57 | 1.08 | no,n 79｜s 00｜d 1.05%,5,红亮[-0.06]-红暗[-0.04]-红暗[-0.02]-红亮[-0.02]-红暗[-0.01]-绿亮[+0.02],低-低-低-低-低-高,否,65.82,10.56,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",小金属,243.63,231.72,3.32,11.39,17.36,9.39,12.81,9.3,11.57,8.06,7.4,6.55,10.15,12.52,12.9,13.95,13.0,14.71,16.41,17.36,18.41,27.13,29.98,25.81,33.21,30.36,30.36,28.84,33.87,42.31,34.91,27.99
2024-09-26,000970,中科三环,fit,压力释放,10.08-8.17-8.37-8.32,低-高-低,18.95%-2.45%-0.60%,17,6.8,1.2,8.48,2.54,138808.0,1.0,8.05,28,📉ema📈res📉adx🗒️rsi,no | no | 回补,,,100.0 | 92.34 | 1.08 | no,n 94｜s 00｜d 0.92%,5,红亮[-0.08]-红暗[-0.06]-红暗[-0.04]-红亮[-0.05]-红暗[-0.02]-绿亮[+0.02],低-低-低-低-低-高,是,66.52,8.75,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",金属新材料,142.6,142.6,4.13,13.44,19.34,10.97,11.67,7.67,8.73,5.78,5.78,4.01,8.25,10.14,11.79,13.56,12.38,15.92,16.51,16.75,17.45,19.93,31.96,23.47,35.85,36.32,36.79,37.74,42.81,36.32,36.67,28.89
2024-09-26,000969,安泰科技,fit,压力释放,8.86-8.91-8.5-8.32,高-低-低,0.56%-4.60%-2.12%,17,10.2,1.77,8.42,3.06,135629.0,1.0,7.95,10,📈ema📈res📉adx🗒️rsi,no | no | 回补,,,100.0 | 85.46 | 1.17 | no,n 78｜s 00｜d 0.85%,5,红亮[-0.06]-红暗[-0.05]-红暗[-0.04]-红亮[-0.05]-红暗[-0.01]-绿亮[+0.03],低-低-低-低-低-高,否,65.66,8.15,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""sto"": {""stoch_length"": 14, ""smooth_k"": 3, ""smooth_d"": 3}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}, ""mcd"": {""fast_length"": 12, ""slow_length"": 26, ""signal_length"": 9}}",金属新材料,217.35,213.88,3.8,13.78,22.45,13.66,12.0,7.13,10.93,8.79,7.84,7.6,11.28,14.73,19.24,19.0,19.48,19.0,19.83,19.0,19.71,26.48,31.59,30.29,31.47,34.2,32.42,32.78,39.79,35.75,34.68,28.5
