日期,代码,名称,现价,涨幅(%),条件,参组,释放,PSQ,TSQ,RSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-04-13,000793,*ST华闻,3.11,5.07,fit,20-1.8-20-1.5,一直释放,2.64-3.45-3.02-2.84-3.06,高-低-低-高,30.68%-12.46%-5.96%-7.75%,30,20.0,128395.0,1.0,3.01,12,📈ema📉adx📈rsi,n 57｜s 00｜d 3.50%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",出版,52.53,51.57,-5.14,-3.54,-7.4,-9.65,-10.61,-9.0,-10.29,-9.97,-5.79,-9.0,-12.22,-11.58,-12.22,-14.15,,,,,,,,,,,,,,,,
2026-04-13,002213,大为股份,34.62,2.21,fit,20-1.8-20-1.5,压力释放,15.24-21.24-20.78-36.64-32.61,高-低-高-低,39.37%-2.17%-76.32%-11.00%,52,30.65,429044.0,21.0,30.75,15,📈ema📉adx🗒️rsi,n 61｜s 00｜d 5.80%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",半导体,72.84,63.35,9.99,0.66,10.75,8.98,7.74,4.51,3.44,-1.42,2.95,5.49,3.12,6.9,7.74,12.94,,,,,,,,,,,,,,,,
2026-04-13,002245,蔚蓝锂芯,19.39,1.41,fit,20-1.8-20-1.5,压力释放,19.25-22.24-19.58-19.98-18.67,高-低-高-低,15.53%-11.96%-2.04%-6.56%,22,14.12,861879.0,8.0,17.97,18,📈ema📉adx🗒️rsi,n 81｜s 00｜d 0.91%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,205.26,193.05,1.19,-1.81,2.22,1.81,1.39,4.07,6.45,9.13,8.05,5.42,7.07,9.75,6.55,17.23,,,,,,,,,,,,,,,,
2026-04-13,002348,高乐股份,9.24,3.36,fit,20-1.8-20-1.5,一直释放,4.16-4.92-7.27-6.76-9.05,高-高-低-高,18.27%-47.76%-7.02%-33.88%,18,29.47,326849.0,4.0,8.47,33,📈ema📉adx🗒️rsi,n 22｜s 00｜d 25.20%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",文娱用品,70.28,67.04,3.57,1.52,2.6,1.84,5.3,7.9,8.33,7.36,3.68,7.36,4.22,14.61,20.45,28.25,,,,,,,,,,,,,,,,
2026-04-13,002364,中恒电气,38.63,9.99,fit,20-1.8-20-1.5,一直释放,33.85-28.87-25.91-36.39-37.37,低-低-高-高,14.71%-10.25%-40.45%-2.69%,22,46.38,150094.0,3.0,36.59,16,📈ema📈adx📈rsi,n 22｜s 00｜d 14.14%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",其他电源设备Ⅱ,158.76,157.22,9.99,12.35,10.79,5.9,13.12,14.32,13.23,12.68,7.92,6.52,3.55,2.9,5.59,16.15,,,,,,,,,,,,,,,,
2026-04-13,002636,金安国纪,36.6,1.86,fit,20-1.8-20-1.5,压力释放,19.44-17.3-17.97-27.54-35.0,低-高-高-高,11.01%-3.87%-53.26%-27.09%,17,25.54,462531.0,6.0,33.56,4,📈ema📉adx🗒️rsi,n 34｜s 00｜d 3.61%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,227.57,226.42,5.98,2.38,5.85,6.28,8.11,14.43,25.87,18.17,12.92,20.49,26.45,23.88,22.68,27.21,,,,,,,,,,,,,,,,
2026-04-13,002733,雄韬股份,30.85,1.98,fit,20-1.8-20-1.5,压力释放,22.97-23.38-26.23-22.0-29.99,高-高-低-高,1.78%-12.19%-16.13%-36.32%,18,23.42,493012.0,13.0,27.91,10,📈ema📈adx🗒️rsi,n 35｜s 00｜d 4.26%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,103.62,99.48,2.72,-2.24,4.31,2.5,-0.06,-2.11,-4.28,-1.69,-2.53,-5.25,4.21,-3.92,-10.34,-3.95,,,,,,,,,,,,,,,,
2026-04-13,003036,泰坦股份,27.75,4.8,fit,20-1.8-20-1.5,一直释放,21.99-21.5-18.48-19.66,低-低-高,2.23%-14.05%-6.39%,34,22.34,344701.0,16.0,24.22,15,📈ema📈adx📈rsi,n 10｜s 00｜d 21.99%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,53.29,53.29,-2.7,7.03,4.29,2.16,-0.18,-0.79,4.07,10.05,21.05,33.15,21.91,26.31,18.02,27.57,,,,,,,,,,,,,,,,
2026-04-13,600864,哈投股份,7.4,5.26,fit,20-1.8-20-1.5,压力释放,8.75-8.14-7.05-7.22-6.63,低-低-高-低,6.97%-13.39%-2.41%-8.17%,28,8.16,2775327.0,13.0,6.48,6,📈ema📉adx🗒️rsi,n 55｜s 00｜d 0.60%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",证券Ⅱ,143.77,143.77,-0.68,-2.57,-1.89,-3.78,-3.51,-5.54,0.68,-1.62,-4.32,-13.92,-15.95,-15.54,-17.43,-16.35,,,,,,,,,,,,,,,,
2026-04-13,603026,石大胜华,89.56,5.17,fit,20-1.8-20-1.5,一直释放,45.8-62.1-110.56-85.11-71.39,高-高-低-低,35.59%-78.04%-23.02%-16.12%,32,18.82,273936.0,12.0,79.47,19,📈ema📈adx🗒️rsi,n 18｜s 00｜d 18.81%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,218.39,218.39,10.0,10.15,8.83,9.48,7.31,10.7,17.06,14.74,16.19,22.04,21.05,33.15,28.32,34.44,,,,,,,,,,,,,,,,
