日期,代码,名称,现价,涨幅(%),条件,参组,释放,PSQ,TSQ,RSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,参数,行业,总市值(亿),流通市值(亿)
2026-05-07,000510,新金路,16.63,7.64,fit,20-1.8-20-1.5,压力释放,5.88-11.03-20.65-23.5-15.85,高-高-高-低,87.59%-87.22%-13.80%-32.55%,17,24.7,816149.0,,14.72,15,📈ema📉adx🗒️rsi,n 62｜s 00｜d 3.96%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学原料,96.37,90.15
2026-05-07,000823,超声电子,17.31,9.98,fit,20-1.8-20-1.5,一直释放,14.02-16.35-15.35-16.8-16.33,高-低-高-低,16.62%-6.12%-9.45%-2.80%,32,29.6,634891.0,,14.92,29,📈ema📈adx🗒️rsi,n 10｜s 00｜d 10.47%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,70.94,70.93
2026-05-07,002342,巨力索具,22.12,9.99,fit,20-1.8-20-1.5,一直释放,8.28-9.68-8.86-7.53-21.42,高-低-低-高,16.91%-8.47%-15.01%-184.46%,51,88.89,2728879.0,,18.31,82,📈ema📈adx📈rsi,n 17｜s 00｜d 79.14%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,118.75,118.1
2026-05-07,002428,云南锗业,80.2,4.14,fit,20-1.8-20-1.5,一直释放,32.5-30.7-30.35-32.42-42.88,低-低-高-高,5.54%-1.14%-6.82%-32.26%,63,28.73,1056903.0,,70.46,24,📈ema📈adx📈rsi,n 12｜s 00｜d 38.08%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小金属,335.44,335.4
2026-05-07,002436,兴森科技,32.42,10.01,fit,20-1.8-20-1.5,一直释放,25.09-23.95-22.24-26.11-27.34,低-低-高-高,4.54%-7.14%-17.40%-4.71%,46,40.13,1793361.0,,27.53,94,📈ema📈adx📈rsi,n 40｜s 00｜d 23.03%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,351.83,312.67
2026-05-07,002491,通鼎互联,18.78,10.02,fit,20-1.8-20-1.5,一直释放,6.03-6.89-5.92-7.65-13.19,高-低-高-高,14.26%-14.08%-29.22%-72.42%,42,41.22,529731.0,,17.23,19,📈ema📈adx🗒️rsi,n 07｜s 00｜d 32.83%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,138.01,132.0
2026-05-07,002552,宝鼎科技,25.14,10.02,fit,20-1.8-20-1.5,一直释放,18.13-17.03-18.5-17.43-22.87,低-高-低-高,6.07%-8.63%-5.78%-31.21%,60,50.56,126044.0,,22.25,34,📈ema📈adx📈rsi,n 12｜s 00｜d 18.36%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,61.69,58.59
2026-05-07,300093,*ST金刚,22.99,3.56,fit,20-1.8-20-1.5,一直释放,12.54-13.6-15.67-20.5-20.24,高-高-高-低,8.43%-15.24%-30.82%-1.27%,31,17.67,46170.0,,20.93,11,📈ema📈adx🗒️rsi,n 36｜s 00｜d 9.53%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光伏设备,97.58,50.42
2026-05-07,300393,中来股份,11.65,4.58,fit,20-1.8-20-1.5,压力释放,6.81-6.86-9.43-12.58-10.8,高-高-高-低,0.73%-37.46%-33.40%-14.15%,21,19.73,690634.0,,10.4,19,📈ema📉adx🗒️rsi,n 52｜s 00｜d 4.44%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光伏设备,106.13,93.11
2026-05-07,300679,电连技术,50.51,11.8,fit,20-1.8-20-1.5,一直释放,53.97-61.48-51.95-43.64-45.0,高-低-低-高,13.92%-15.50%-16.00%-3.12%,17,11.36,428707.0,,43.55,43,📈ema📈adx📈rsi,n 21｜s 00｜d 18.49%,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",消费电子,144.86,122.57
