日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-05-13 22:30:00,Long,TSLA,447.86,1.20%,435.22,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",特斯拉,1H,,,,,,
2026-05-13 22:30:00,Long,AAPL,296.77,0.55%,293.37,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",苹果,1H,压力释放,274.27-275.77-273.22-287.21-294.76,高-低-高-高,0.55%-0.92%-5.12%-2.63%,21.0,1.56
2026-05-13 22:30:00,Short,PLTR,130.27,0.18%,132.84,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PLTR,1H,支撑释放,122.68-138.93-134.68-131.15-132.77,高-低-低-高,13.25%-3.06%-2.62%-1.24%,15.0,3.5
2026-05-13 22:30:00,Short,MSFT,403.28,0.06%,406.5,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",微软,1H,支撑释放,416.3-411.41-398.01-405.11-405.5,低-低-高-高,1.17%-3.26%-1.78%-0.10%,15.0,2.47
2026-05-13 22:30:00,Long,FUTU,142.2,0.82%,137.61,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",富途控股,1H,,,,,,
2026-05-13 22:30:00,Long,RKLB,123.79,2.26%,116.92,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",RKLB,1H,,,,,,
2026-05-13 22:30:00,Long,VRT,368.73,0.06%,359.08,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VRT,1H,,,,,,
2026-05-13 22:30:00,Long,COHR,399.27,3.12%,375.19,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",COHR,1H,一直释放,267.59-364.8-348.3-354.2-384.85,高-低-高-高,36.33%-4.52%-1.69%-8.65%,13.0,10.28
2026-05-13 22:30:00,Long,LITE,1036.4,1.69%,985.76,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Lumentum Holdings Inc. Common Stock When Issued,1H,,,,,,
2026-05-13 22:30:00,Long,CRWV,109.05,1.02%,104.43,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CRWV,1H,,,,,,
