日期,代码,名称,现价,涨幅(%),释放,TSQ,RSQ,PSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-11,002032,苏 泊 尔,48.3,1.88,一直释放,低-低-低-低,5.67%-1.55%-3.47%-10.21%,56.8-53.58-52.75-50.92-45.72,57,8.09,28820.0,0.0,46.26,22,📈ema📈adx🗒️rsi,n 41｜s 00｜d 4.95%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小家电,351.7,351.48,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,002108,沧州明珠,6.44,10.09,一直释放,低-高-低-低,2.43%-28.12%-6.37%-1.32%,4.52-4.41-5.65-5.29-5.22,35,20.83,798529.0,5.0,6.07,32,📈ema📈adx📈rsi,n 20｜s 00｜d 14.40%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,81.11,81.06,-4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,002273,水晶光电,37.74,4.34,一直释放,高-高-低-高,37.33%-0.07%-11.86%-12.06%,21.16-29.06-29.08-25.63-28.72,46,31.26,1250093.0,9.0,34.95,31,📈ema📈adx📈rsi,n 14｜s 00｜d 26.19%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,322.07,315.49,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,002565,顺灏股份,21.79,5.57,一直释放,低-高-高-低,16.49%-189.17%-157.71%-19.02%,3.76-3.14-9.08-23.4-18.95,55,44.44,2401732.0,23.0,18.34,12,📈ema📈adx🗒️rsi,n 16｜s 00｜d 11.56%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",包装印刷,161.97,161.96,-8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,002678,珠江钢琴,6.27,-0.16,压力释放,高-低-高-低,34.94%-20.60%-15.14%-2.97%,5.18-6.99-5.55-6.39-6.2,20,18.55,128834.0,1.0,5.89,7,📈ema📉adx🗒️rsi,n 60｜s 00｜d 2.09%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",文娱用品,71.45,71.41,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,300166,东方国信,19.08,-1.4,压力释放,高-高-高-高,3.54%-6.58%-23.30%-9.89%,11.59-12.0-12.79-15.77-17.33,33,29.81,1728016.0,19.0,17.29,11,📈ema📉adx🗒️rsi,n 34｜s 00｜d 7.11%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",IT服务Ⅱ,162.5,129.25,-1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,300252,金信诺,16.5,3.0,一直释放,高-低-高-低,17.31%-18.58%-29.21%-9.57%,14.73-17.28-14.07-18.18-16.44,45,34.53,577036.0,10.0,15.52,35,📈ema📈adx🗒️rsi,n 48｜s 00｜d 9.58%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,86.81,73.26,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,300292,吴通控股,6.12,11.07,一直释放,低-高-高-高,10.05%-2.64%-0.59%-0.39%,5.47-4.92-5.05-5.08-5.1,34,16.97,2678635.0,24.0,5.45,23,📈ema📈adx📈rsi,n 31｜s 00｜d 7.72%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信服务,63.47,52.78,15.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,300480,光力科技,39.9,6.86,一直释放,高-高-低-高,22.25%-13.91%-1.18%-77.83%,14.0-17.11-19.49-19.26-34.25,39,31.58,309342.0,11.0,35.83,83,📈ema📈adx📈rsi,n 23｜s 00｜d 73.44%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,100.2,70.3,-4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,300684,中石科技,65.43,7.69,一直释放,高-高-高-高,59.35%-22.49%-6.95%-17.07%,24.84-39.58-48.48-51.85-60.7,48,33.52,241679.0,12.0,56.97,31,📈ema📈adx🗒️rsi,n 31｜s 00｜d 13.87%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电子化学品Ⅱ,146.91,100.21,-3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
