日期,代码,名称,现价,涨幅(%),释放,TSQ,RSQ,PSQ,BSA,RPT,成交量,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-05-12,000935,四川双马,31.03,8.16,一直释放,低-高-高-高,1.16%-2.35%-28.15%-1.83%,22.37-22.11-22.63-29.0-29.53,52,28.95,150241.0,2.0,27.59,35,📈ema📉adx📈rsi,n 27｜s 00｜d 9.90%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",多元金融,190.17,190.17
2026-05-12,002179,中航光电,40.85,0.59,压力释放,低-高-低-低,5.65%-6.33%-2.44%-9.25%,42.85-40.43-42.99-41.94-38.06,39,17.65,1410756.0,7.0,39.29,4,📈ema📉adx📈rsi,n 71｜s 00｜d 1.41%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",军工电子Ⅱ,703.62,696.67
2026-05-12,002536,飞龙股份,46.49,4.47,一直释放,低-低-高-高,16.03%-16.84%-42.88%-21.77%,34.3-28.8-23.95-34.22-41.67,39,54.96,519141.0,10.0,40.95,47,📈ema📈adx📈rsi,n 15｜s 00｜d 24.56%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",汽车零部件,168.01,159.13
2026-05-12,002831,裕同科技,44.01,7.03,压力释放,低-低-高-高,2.60%-0.89%-26.23%-28.72%,25.43-24.77-24.55-30.99-39.89,20,11.05,187003.0,4.0,38.42,5,📈ema📈adx📈rsi,n 50｜s 00｜d 2.50%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",包装印刷,296.31,164.49
2026-05-12,300236,上海新阳,99.72,4.12,一直释放,高-高-高-低,55.26%-7.03%-32.79%-0.87%,40.5-62.88-67.3-89.37-88.59,37,28.09,172300.0,6.0,89.74,26,📈ema📈adx🗒️rsi,n 18｜s 00｜d 14.44%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电子化学品Ⅱ,239.8,213.15
2026-05-12,300267,尔康制药,4.84,7.08,压力释放,高-低-高-高,35.67%-11.39%-7.01%-1.75%,3.56-4.83-4.28-4.58-4.66,48,35.47,2068874.0,15.0,4.3,12,📈ema📈adx🗒️rsi,n 75｜s 00｜d 4.75%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制药,81.89,56.47
2026-05-12,301007,德迈仕,40.5,4.17,压力释放,高-低-低-低,70.38%-0.81%-13.91%-7.37%,29.64-50.5-50.09-43.12-39.94,49,30.74,101904.0,7.0,37.38,11,📈ema📈adx📈rsi,n 95｜s 00｜d 3.75%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",汽车零部件,51.06,50.95
2026-05-12,600552,凯盛科技,17.7,4.61,一直释放,高-高-低-高,12.59%-1.37%-10.46%-33.31%,12.31-13.86-14.05-12.58-16.77,66,47.11,1072081.0,11.0,15.87,45,📈ema📈adx📈rsi,n 25｜s 00｜d 18.83%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,114.3,114.3
2026-05-12,603776,永安行,21.48,4.63,一直释放,低-低-低-高,3.95%-12.51%-0.78%-2.52%,24.3-23.34-20.42-20.26-20.77,38,20.34,107236.0,4.0,19.66,43,📈ema📈adx🗒️rsi,n 53｜s 00｜d 7.39%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",摩托车及其他,50.23,50.23
2026-05-12,603803,瑞斯康达,16.97,2.17,压力释放,低-高-低-高,2.91%-38.01%-4.27%-36.06%,9.62-9.34-12.89-12.34-16.79,17,27.2,644896.0,15.0,15.25,6,📈ema📈adx🗒️rsi,n 45｜s 00｜d 3.81%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,58.34,58.34
