日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-04-13,000793,*ST华闻,3.11,5.07,128395.0,一直释放,低-高-低-高,1.08%-25.00%-17.68%-7.75%,30,20.0,2.79-2.76-3.45-2.84-3.06,1.0,3.01,12,📈ema📉adx📈rsi,n 57｜s 00｜d 3.50%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",出版,52.53,51.57,-5.14,-3.54,-7.4,-9.65,-10.61,-9.0,-10.29,-9.97,-5.79,-9.0,-12.22,-11.58,-12.22,-14.15,-15.11,-13.83,-14.47,-11.9,-7.4,,,,,,,,,,,
2026-04-13,000973,佛塑科技,19.36,6.84,632465.0,一直释放,高-高-高-高,13.33%-4.13%-82.45%-6.13%,62,39.0,7.05-7.99-8.32-15.18-16.11,7.0,16.72,36,📈ema📈adx🗒️rsi,n 22｜s 00｜d 32.13%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",塑料,481.57,189.52,-2.48,-6.4,-10.69,-4.86,-6.82,-8.21,-5.94,-10.85,-1.91,1.86,-0.05,9.97,8.42,9.76,7.9,2.69,5.32,3.62,1.19,,,,,,,,,,,
2026-04-13,002213,大为股份,34.62,2.21,429044.0,压力释放,高-低-高-低,39.37%-2.17%-76.32%-11.00%,52,30.65,15.24-21.24-20.78-36.64-32.61,21.0,30.75,15,📈ema📉adx🗒️rsi,n 61｜s 00｜d 5.80%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",半导体,72.84,63.35,9.99,0.66,10.75,8.98,7.74,4.51,3.44,-1.42,2.95,5.49,3.12,6.9,7.74,12.94,15.42,24.64,30.3,25.68,25.85,,,,,,,,,,,
2026-04-13,002245,蔚蓝锂芯,19.39,1.41,861879.0,压力释放,高-高-低-低,41.34%-15.53%-10.16%-6.56%,22,14.12,13.62-19.25-22.24-19.98-18.67,8.0,17.97,18,📈ema📉adx🗒️rsi,n 81｜s 00｜d 0.91%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,205.26,193.05,1.19,-1.81,2.22,1.81,1.39,4.07,6.45,9.13,8.05,5.42,7.07,9.75,6.55,17.23,16.61,13.62,17.48,17.64,26.3,,,,,,,,,,,
2026-04-13,002348,高乐股份,9.24,3.36,326849.0,一直释放,低-低-高-高,10.66%-0.72%-74.76%-24.48%,18,29.47,4.69-4.19-4.16-7.27-9.05,4.0,8.47,33,📈ema📉adx🗒️rsi,n 22｜s 00｜d 25.20%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",文娱用品,70.28,67.04,3.57,1.52,2.6,1.84,5.3,7.9,8.33,7.36,3.68,7.36,4.22,14.61,20.45,28.25,36.26,33.87,42.53,37.66,37.34,,,,,,,,,,,
2026-04-13,002364,中恒电气,38.63,9.99,150094.0,一直释放,低-高-高-高,15.70%-97.03%-7.50%-2.69%,22,46.38,20.38-17.18-33.85-36.39-37.37,3.0,36.59,16,📈ema📈adx📈rsi,n 22｜s 00｜d 14.14%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",其他电源设备Ⅱ,158.76,157.22,9.99,12.35,10.79,5.9,13.12,14.32,13.23,12.68,7.92,6.52,3.55,2.9,5.59,16.15,19.86,16.88,15.79,13.9,25.29,,,,,,,,,,,
2026-04-13,002733,雄韬股份,30.85,1.98,493012.0,压力释放,低-高-低-高,3.79%-12.19%-16.13%-36.32%,18,23.42,24.3-23.38-26.23-22.0-29.99,13.0,27.91,10,📈ema📈adx🗒️rsi,n 35｜s 00｜d 4.26%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,103.62,99.48,2.72,-2.24,4.31,2.5,-0.06,-2.11,-4.28,-1.69,-2.53,-5.25,4.21,-3.92,-10.34,-3.95,-2.37,-5.35,-6.48,-8.3,-9.4,,,,,,,,,,,
2026-04-13,003036,泰坦股份,27.75,4.8,344701.0,一直释放,高-高-低,24.89%-33.60%-2.23%,106,44.49,13.18-16.46-21.99-21.5,16.0,24.22,15,📈ema📈adx📈rsi,n 10｜s 00｜d 21.99%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,53.29,53.29,-2.7,7.03,4.29,2.16,-0.18,-0.79,4.07,10.05,21.05,33.15,21.91,26.31,18.02,27.57,37.3,51.03,53.66,56.83,58.56,,,,,,,,,,,
2026-04-13,600864,哈投股份,7.4,5.26,2775327.0,压力释放,低-高-低-低,10.12%-42.74%-6.97%-11.30%,58,17.78,6.82-6.13-8.75-8.14-7.22,13.0,6.48,6,📈ema📉adx🗒️rsi,n 55｜s 00｜d 0.60%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",证券Ⅱ,143.77,143.77,-0.68,-2.57,-1.89,-3.78,-3.51,-5.54,0.68,-1.62,-4.32,-13.92,-15.95,-15.54,-17.43,-16.35,-16.89,-17.3,-16.62,-16.89,-17.43,,,,,,,,,,,
2026-04-13,603026,石大胜华,89.56,5.17,273936.0,一直释放,低-高-高-低,0.18%-2.63%-174.82%-23.02%,67,41.66,39.27-39.2-40.23-110.56-85.11,12.0,79.47,19,📈ema📈adx🗒️rsi,n 18｜s 00｜d 18.81%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电池,218.39,218.39,10.0,10.15,8.83,9.48,7.31,10.7,17.06,14.74,16.19,22.04,21.05,33.15,28.32,34.44,21.24,16.03,16.86,15.99,14.05,,,,,,,,,,,
