日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-04-16,002039,黔源电力,20.85,1.51,115485.0,一直释放,高-高-低-高,9.96%-4.72%-2.64%-5.11%,98.42[bull],55,16.18,16.76-18.43-19.3-18.79-19.75,3.0,19.5,5,📈ema📈adx🗒️rsi,n 04｜s 00｜d 1.76%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电力,87.39,87.39,0.1,0.53,5.52,4.56,2.54,-0.48,-1.82,-0.91,-1.34,-2.73,-1.44,-0.05,-2.88,-0.86,0.1,1.53,,,,,,,,,,,,,,
2026-04-16,002393,力生制药,23.68,-0.29,46681.0,一直释放,高-低-低-低,22.95%-7.19%-8.76%-3.61%,99.08[bear],51,15.04,23.4-28.77-26.7-24.36-23.48,2.0,22.75,23,📈ema📉adx🗒️rsi,n 39｜s 00｜d 5.71%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制药,61.38,59.65,-2.45,-0.93,-2.7,-2.96,-4.73,-9.63,-8.57,-28.59,-29.01,-29.48,-29.39,-29.94,-30.32,-29.56,-30.83,-31.46,,,,,,,,,,,,,,
2026-04-16,002966,苏州银行,8.6,-0.23,302511.0,压力释放,高-低-高-低,19.61%-8.95%-0.83%-0.94%,88.69[bull],37,6.98,7.75-9.27-8.44-8.51-8.43,1.0,8.39,32,📈ema📉adx🗒️rsi,n 85｜s 00｜d 1.26%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",银行Ⅱ,372.85,366.64,0.81,1.86,1.86,1.74,2.44,0.93,1.4,1.28,-0.58,-0.93,-0.47,-1.63,-2.21,-1.98,-1.74,-0.58,,,,,,,,,,,,,,
2026-04-16,300088,长信科技,7.77,14.1,7542507.0,一直释放,高-高-低-低,13.42%-5.52%-1.61%-4.91%,19.77[bull],23,20.38,6.22-7.06-7.45-7.33-6.97,30.0,6.47,17,📈ema📉adx📈rsi,n 22｜s 00｜d 7.69%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,150.11,149.38,-2.32,-3.86,-7.59,-4.63,-8.24,-9.27,-9.14,-15.44,-13.51,-15.7,-10.68,-6.82,-6.44,-6.18,-6.56,-3.22,,,,,,,,,,,,,,
2026-04-16,600126,杭钢股份,10.17,6.72,2677669.0,压力释放,低-低-高-高,1.05%-15.81%-2.41%-2.25%,76.74[bull],24,29.27,11.44-11.32-9.53-9.76-9.98,8.0,8.95,6,📈ema📉adx🗒️rsi,n 28｜s 00｜d 0.72%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",普钢,278.62,278.62,-2.06,-4.13,-8.26,0.88,2.56,3.05,-7.28,-10.03,-10.82,-14.06,-10.23,-6.1,-6.0,-7.96,-11.11,-7.08,,,,,,,,,,,,,,
2026-04-16,601778,晶科科技,6.66,10.08,7491227.0,一直释放,低-高-低-高,6.53%-80.88%-22.56%-67.45%,74.87[bull],24,37.5,2.91-2.72-4.92-3.81-6.38,21.0,5.85,26,📈ema📉adx📈rsi,n 11｜s 00｜d 14.84%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电力,197.12,197.12,3.75,-2.25,-4.65,-1.8,7.96,7.66,4.2,6.91,4.5,-2.4,7.36,11.41,10.96,9.61,6.61,7.21,,,,,,,,,,,,,,
2026-04-16,603052,可川科技,75.77,10.0,64468.0,压力释放,低-高-高-高,2.85%-32.83%-5.97%-92.31%,32.52[bull],45,38.4,28.44-27.63-36.7-38.89-74.79,3.0,63.4,23,📈ema📉adx🗒️rsi,n 47｜s 00｜d 8.07%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",消费电子,120.61,120.61,10.0,21.01,19.18,20.58,24.93,20.19,17.36,12.1,13.78,7.48,12.0,13.09,17.8,14.4,25.84,38.43,,,,,,,,,,,,,,
2026-04-16,603115,海星股份,46.96,5.53,105676.0,一直释放,低-高-高-低,4.75%-39.41%-7.20%-2.38%,99.75[bull],100,21.64,15.37-14.64-20.41-21.88-21.36,4.0,40.99,15,📈ema📈adx🗒️rsi,n 03｜s 00｜d 25.39%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,105.05,105.05,0.77,-5.75,3.68,14.05,24.68,24.6,24.83,22.76,22.87,21.15,33.26,35.71,32.82,32.99,35.22,46.4,,,,,,,,,,,,,,
2026-04-16,603220,中贝通信,31.93,9.99,887498.0,压力释放,高-低-高-高,9.78%-7.20%-9.04%-13.83%,65.37[bull],26,32.16,24.54-26.94-25.0-27.26-31.03,20.0,27.11,6,📈ema📉adx🗒️rsi,n 47｜s 00｜d 1.35%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信服务,133.6,108.17,0.97,-3.29,-7.67,-2.54,7.2,-0.28,-1.19,-8.46,-9.33,-11.49,-7.17,-2.1,0.56,-2.6,-6.26,-1.82,,,,,,,,,,,,,,
2026-04-16,603601,再升科技,15.03,4.96,2869165.0,一直释放,高-低-高-低,13.20%-23.02%-184.27%-7.04%,9.06[bear],33,29.25,5.91-6.69-5.15-14.64-13.61,25.0,13.15,12,📈ema📉adx🗒️rsi,n 15｜s 00｜d 10.52%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专业工程,150.56,150.56,-1.73,3.59,8.18,5.26,0.8,-5.66,-0.6,1.53,1.13,5.46,11.31,15.24,19.1,19.1,12.24,20.23,,,,,,,,,,,,,,
