日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,SCO,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-07,000823,超声电子,17.31,9.97,634891.0,一直释放,高-高-低-高,10.85%-9.58%-6.12%-9.45%,中,72.82[bull],46,33.33,13.46-14.92-16.35-15.35-16.8,12.0,14.92,29,📈ema📈adx🗒️rsi,n 10｜s 00｜d 10.47%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,70.94,70.93,1.56,1.21,-2.08,1.04,-2.72,-5.95,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002342,巨力索具,22.12,9.99,2728879.0,一直释放,高-高-低-高,23.95%-16.91%-8.47%-141.76%,中,58.45[bull],51,88.89,6.68-8.28-9.68-8.86-21.42,29.0,18.31,82,📈ema📈adx📈rsi,n 17｜s 00｜d 79.14%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,118.75,118.1,-0.05,0.23,-7.78,-7.5,-9.99,-12.16,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002428,云南锗业,80.2,4.14,1056903.0,一直释放,高-低-高-高,61.13%-5.54%-5.60%-32.26%,低,100.0[bull],63,28.73,20.17-32.5-30.7-32.42-42.88,16.0,70.46,24,📈ema📈adx📈rsi,n 12｜s 00｜d 38.08%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小金属,335.44,335.4,7.32,14.96,26.46,26.57,21.2,12.63,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002436,兴森科技,32.42,10.01,1793361.0,一直释放,高-低-高-高,25.45%-4.54%-9.02%-4.71%,低,99.73[bull],46,40.13,20.0-25.09-23.95-26.11-27.34,12.0,27.53,94,📈ema📈adx📈rsi,n 40｜s 00｜d 23.03%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",元件,351.83,312.67,-1.26,2.31,3.18,5.46,0.89,-2.87,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002491,通鼎互联,18.78,10.02,529731.0,一直释放,高-高-高-高,3.43%-14.26%-11.03%-72.42%,低,98.67[bull],42,41.22,5.83-6.03-6.89-7.65-13.19,5.0,17.23,19,📈ema📈adx🗒️rsi,n 07｜s 00｜d 32.83%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,138.01,132.0,10.01,21.03,33.12,43.5,31.26,20.29,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002552,宝鼎科技,25.14,10.02,126044.0,一直释放,低-高-高-高,9.00%-28.13%-2.04%-23.62%,低,88.68[bull],60,50.56,15.55-14.15-18.13-18.5-22.87,3.0,22.25,34,📈ema📈adx📈rsi,n 12｜s 00｜d 18.36%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,61.69,58.59,9.98,21.0,33.09,38.46,34.65,27.8,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,300093,*ST金刚,22.99,3.56,46170.0,一直释放,低-高-高-低,0.78%-16.99%-30.82%-1.27%,低,89.18[bull],31,17.67,13.5-13.39-15.67-20.5-20.24,2.0,20.93,11,📈ema📈adx🗒️rsi,n 36｜s 00｜d 9.53%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光伏设备,97.58,50.42,-1.44,-3.39,-4.18,-4.26,-3.83,-6.48,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,300913,兆龙互连,58.05,5.26,125601.0,一直释放,高-低-低-低,35.77%-12.87%-1.97%-3.26%,中,99.64[bull],44,29.96,51.55-69.99-60.98-59.78-57.83,5.0,53.09,15,📈ema📉adx🗒️rsi,n 52｜s 00｜d 7.63%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,164.43,122.7,0.9,1.72,0.93,1.36,-1.81,-4.72,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,301128,强瑞技术,204.05,7.39,93928.0,一直释放,低-高-低-高,19.26%-115.00%-10.84%-19.30%,低,99.27[bull],64,30.72,67.97-54.87-117.98-105.19-125.49,10.0,164.41,32,📈ema📈adx🗒️rsi,n 19｜s 00｜d 47.98%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",专用设备,142.13,121.23,-6.03,-7.38,-9.04,-1.56,-2.25,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,600936,北投科技,4.7,10.07,1007411.0,压力释放,低-高-低-低,2.06%-33.16%-9.68%-3.72%,中,21.35[bull],22,13.7,3.88-3.8-5.06-4.57-4.4,6.0,4.13,9,📈ema📉adx📈rsi,n 80｜s 00｜d 1.32%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 200}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",电视广播Ⅱ,64.17,64.17,10.0,8.51,9.57,14.26,14.04,16.38,,,,,,,,,,,,,,,,,,,,,,,,
