日期,代码,名称,现价,涨幅(%),成交量,STC,换手(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-05-07,000027,深圳能源,7.09,0.71,488355.0,20.43,1.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,384.4,384.4,-0.14,1.41,3.24,6.35,3.39,2.4,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002218,拓日新能,5.86,3.35,1555073.0,0.19,11.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,94.25,92.87,0.85,0.34,-0.85,2.22,1.54,-4.27,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002264,新 华 都,8.62,1.77,247059.0,6.56,4.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",广告营销,59.31,53.95,0.81,0.7,-1.62,-1.51,-4.87,-11.48,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002298,中电鑫龙,11.11,10.0,825670.0,3.18,12.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电网设备,86.15,76.9,-0.18,2.52,0.72,3.78,0.18,2.07,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,002575,群兴玩具,7.47,6.56,1139201.0,0.85,19.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",文娱用品,54.87,52.11,-4.42,-5.76,-5.22,-0.67,0.54,-1.34,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,003041,真爱美家,63.4,9.99,94777.0,15.39,7.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",服装家纺,72.55,68.93,1.42,9.91,3.56,2.97,-0.46,-1.83,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,300263,隆华科技,11.38,3.74,687620.0,18.58,7.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",通用设备,100.5,94.72,-0.62,0.44,-1.76,-0.18,0.62,20.74,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,300751,迈为股份,264.28,7.0,157434.0,1.51,8.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",光伏设备,764.76,529.22,1.98,8.17,4.36,3.06,3.27,-1.57,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,600101,明星电力,10.03,0.4,257413.0,7.79,5.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,59.99,59.99,0.2,1.5,3.59,4.09,0.2,-0.5,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,600509,天富能源,8.52,2.53,410886.0,12.0,3.0,fit,stc,"{""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""tma"": {""tma_fast_length"": 5, ""tma_slow_length"": 8, ""tma_vfactor"": 0.618}}",电力,124.25,124.25,1.29,7.75,6.46,10.21,21.24,17.72,,,,,,,,,,,,,,,,,,,,,,,,
