日期,代码,名称,现价,涨幅(%),成交量,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-12-01,000582,北部湾港,9.0,2.86,219928.0,航运港口,273.86,234.67,1.11,0.44,0.11,-0.11,-0.44,-1.44,0.44,-1.44,-1.89,-0.56,-1.67,-1.33,-0.44,1.33,5.78,6.11,8.33,13.0,15.78,6.78,3.33,4.22,4.0,4.89,8.0,5.89,5.67,5.89,3.44,4.0
2025-12-01,000829,天音控股,11.36,9.97,823949.0,专业连锁Ⅱ,106.41,106.3,1.14,-1.32,-4.23,-4.14,-4.05,-5.19,-5.11,-7.83,-5.11,-3.17,-3.96,-3.61,-3.7,-2.38,-4.31,-6.25,-5.19,-5.72,-6.95,-6.87,-7.13,-3.96,-3.52,-3.35,-5.99,-3.17,-0.26,4.75,4.05,-2.46
2025-12-01,002151,北斗星通,31.28,1.66,159200.0,军工电子Ⅱ,201.09,164.02,-0.58,-2.33,-0.74,0.38,0.93,1.5,2.24,1.66,1.15,1.47,2.94,2.69,3.74,5.88,16.46,10.13,19.41,22.57,34.81,33.38,32.03,45.24,59.75,75.74,84.46,90.82,94.44,113.87,92.49,73.37
2025-12-01,002349,精华制药,8.07,0.37,125394.0,中药Ⅱ,60.23,59.11,-0.5,1.61,0.5,-0.87,-2.35,-4.71,-4.46,-5.7,-7.43,-7.43,-9.54,-9.67,-8.55,-7.19,-7.81,-9.05,-8.67,-8.05,-8.67,-10.04,-10.16,-10.04,-8.43,-8.3,-8.8,-8.18,-6.82,-4.96,-3.59,-4.71
2025-12-01,002353,杰瑞股份,62.07,9.99,572379.0,专用设备,1005.43,680.77,-3.46,6.19,7.44,14.92,13.9,14.23,17.14,16.76,22.23,21.31,14.37,15.68,12.53,9.51,12.76,14.24,14.44,14.05,21.04,20.12,17.56,14.11,15.64,18.04,19.28,17.95,23.09,20.12,23.23,35.56
2025-12-01,002572,索菲亚,14.57,4.29,669189.0,家居用品,121.15,81.95,-0.48,-1.58,-2.61,-3.71,-4.26,-4.8,-3.5,-5.08,-4.6,-5.42,-4.26,-4.39,-5.28,-5.22,-7.55,-7.14,-6.86,-6.45,-5.83,-6.45,-7.41,-6.59,-6.52,-4.94,-6.25,-5.56,-5.77,-4.94,-6.38,-7.41
2025-12-01,002984,森麒麟,20.07,0.4,79587.0,汽车零部件,177.78,122.46,2.14,4.29,5.38,6.08,8.42,8.27,13.6,11.21,11.41,12.26,10.51,11.56,12.06,5.48,9.72,7.22,5.38,4.43,4.53,4.14,6.23,5.48,10.11,9.27,9.12,6.43,5.98,5.88,4.68,2.99
2025-12-01,300053,航宇微,17.43,14.75,1977605.0,半导体,116.03,108.36,-3.1,-7.63,-5.51,0.17,-2.47,-3.04,2.75,2.18,2.98,4.3,0.0,-3.61,1.26,3.79,0.86,-4.3,-2.35,2.41,4.48,6.71,5.16,9.12,7.63,8.26,6.08,14.46,24.61,38.55,25.13,27.19
2025-12-01,600088,中视传媒,17.7,3.33,106714.0,影视院线,56.43,56.43,-2.82,-1.64,-1.69,-2.49,-5.82,-6.95,-6.55,-8.81,-8.02,-7.51,-9.27,-9.15,-8.7,-8.02,-8.93,-9.83,-9.15,-9.15,-9.49,-8.53,-9.1,-8.59,-7.97,-7.29,-7.74,-6.67,-4.52,3.62,1.41,4.63
2025-12-01,600300,维维股份,3.62,1.69,457837.0,饮料乳品,56.44,56.44,1.1,1.1,-1.66,0.55,-0.83,-0.55,-1.1,-4.42,-5.25,-1.93,-1.93,-1.1,0.28,3.04,2.21,1.93,1.1,0.83,0.83,-1.66,-3.04,-3.04,-3.04,-1.38,-2.21,-2.21,1.1,0.83,-0.28,-0.83
2025-12-01,600336,澳柯玛,8.05,4.01,406771.0,白色家电,55.14,55.14,-0.75,0.87,-2.36,-1.86,-1.37,1.61,2.73,0.87,4.6,5.34,9.19,18.63,13.04,13.79,7.2,6.83,8.2,6.21,11.43,8.2,1.74,2.11,-1.24,1.74,0.99,3.73,3.23,3.73,-0.62,-0.37
2025-12-01,600428,中远海特,7.3,5.19,531857.0,航运港口,246.13,219.34,-0.96,-1.37,-0.27,-1.78,-2.6,-3.29,-2.74,-4.11,-2.47,-1.23,-3.01,-1.64,-1.23,-1.1,0.55,-0.14,-0.82,-1.37,-1.51,-0.68,-2.19,-2.74,-3.15,-2.33,-1.92,-3.01,-2.33,1.37,1.1,1.51
2025-12-01,600461,洪城环境,9.75,3.61,371836.0,环境治理,128.54,128.54,2.15,2.77,1.95,2.36,2.26,1.64,-0.72,-0.31,0.1,-1.03,-1.23,-1.44,-1.03,-1.13,-1.85,-1.64,-1.74,-1.44,-1.95,-3.38,-4.62,-4.92,-2.56,-3.69,-3.9,-4.51,-4.1,-4.1,-4.31,-4.92
2025-12-01,600750,华润江中,22.67,4.37,241422.0,中药Ⅱ,163.86,162.08,1.46,2.12,2.29,1.5,1.94,3.53,5.78,7.41,7.54,7.28,7.85,7.68,9.62,8.65,9.09,8.82,8.29,4.76,4.19,4.06,3.57,2.21,1.9,1.32,1.1,1.9,1.24,0.97,0.4,-0.18
