日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-06-01 00:00:00,Long,FROG,88.31,11.11%,75.63,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,51.94-65.5-70.43-61.4-52.0,高-高-低-低,26.12%-7.53%-12.82%-15.31%,37.0,26.52,JFROG LTD,1D
2026-06-01 00:00:00,Long,FROG,88.31,11.11%,75.63,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,44.94-51.94-65.5-70.43-52.0,高-高-高-低,15.56%-26.12%-7.53%-26.17%,37.0,26.52,JFROG LTD,1D
2026-06-01 00:00:00,Short,CNH,9.85,-3.53%,10.53,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,CNH INDUSTRIAL NV,1D
2026-06-01 00:00:00,Short,TGTX,37.41,-1.40%,39.69,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,TG THERAPEUTICS INC,1D
2026-06-01 00:00:00,Long,UTI,41.39,10.64%,35.5,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,UNIVERSAL TECHNICAL INSTITUT,1D
2026-06-01 00:00:00,Short,PRFX,2.02,-32.67%,2.84,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,PRF TECHNOLOGIES LTD,1D
2026-06-01 00:00:00,Short,THG,185.1,-0.59%,191.68,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,HANOVER INSURANCE GROUP INC/,1D
2026-06-01 00:00:00,Long,APPN,27.77,18.68%,22.47,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,34.07-46.06-43.78-27.7-24.48,高-低-低-低,35.19%-4.95%-36.73%-11.62%,16.0,31.4,APPIAN CORP-A,1D
2026-06-01 00:00:00,Short,PHGE,1.04,-17.46%,1.45,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BIOMX INC,1D
2026-06-01 00:00:00,Short,QUCY,2.23,-12.89%,3.14,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,QUANTUM CYBER NV,1D
2026-06-01 00:00:00,Long,SSNC,69.08,2.72%,65.03,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,SS&C TECHNOLOGIES HOLDINGS,1D
2026-06-01 00:00:00,Short,CXT,36.42,-6.23%,40.9,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,63.22-52.59-45.65-49.02-39.05,低-低-高-低,16.82%-13.20%-7.39%-20.33%,43.0,19.7,CRANE NXT CO,1D
2026-06-01 00:00:00,Long,ZM,111.62,9.87%,98.06,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,ZOOM COMMUNICATIONS INC,1D
