date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2026-01-05,sh.510880,3.1830,3.1930,3.1700,3.1800,3.1830,160709824,510847599.0000,3,2.653871,1,-0.094300,1
2026-01-06,sh.510880,3.1800,3.2190,3.1720,3.2180,3.1800,212208423,677876074.0000,3,3.475877,1,1.195000,1
2026-01-07,sh.510880,3.2180,3.2320,3.2020,3.2320,3.2180,145318753,467902780.0000,3,2.401695,1,0.435100,1
2026-01-08,sh.510880,3.2300,3.2310,3.2130,3.2210,3.2320,109021090,351116569.0000,3,1.813338,1,-0.340300,1
2026-01-09,sh.510880,3.2210,3.2350,3.2160,3.2340,3.2210,121750149,392760656.0000,3,2.033346,1,0.403600,1
2026-01-12,sh.510880,3.2330,3.2370,3.2140,3.2310,3.2340,142405448,459145758.0000,3,2.398135,1,-0.092800,1
2026-01-13,sh.510880,3.2280,3.2450,3.2240,3.2290,3.2310,141142025,456857959.0000,3,2.383280,1,-0.061900,1
2026-01-14,sh.510880,3.2280,3.2360,3.1970,3.1990,3.2290,194456918,625541707.0000,3,3.292434,1,-0.929100,1
2026-01-15,sh.510880,3.1990,3.2090,3.1830,3.1880,3.1990,153320022,490206980.0000,3,2.571114,1,-0.343900,1
2026-01-16,sh.510880,3.1890,3.2000,3.1550,3.1630,3.1880,254663722,808039637.0000,3,4.265241,1,-0.784200,1
2026-01-19,sh.510880,3.1630,3.1800,3.1540,3.1790,3.1630,169245729,536333533.0000,3,2.773985,1,0.505800,1
2026-01-20,sh.510880,3.1800,3.2180,3.1750,3.2170,3.1790,194369138,621283721.0000,3,3.151416,1,1.195300,1
2026-01-21,sh.510880,3.0780,3.0790,3.0520,3.0570,3.0740,301877800,923943262.0000,3,4.879089,1,-0.553000,1
2026-01-22,sh.510880,3.0590,3.0800,3.0550,3.0770,3.0570,155801800,478674278.0000,3,2.452345,1,0.654200,1
2026-01-23,sh.510880,3.0810,3.0820,3.0590,3.0690,3.0770,161176568,494701122.0000,3,2.533954,1,-0.260000,1
2026-01-26,sh.510880,3.0690,3.1090,3.0640,3.1060,3.0690,211831264,654976910.0000,3,3.319888,1,1.205600,1
2026-01-27,sh.510880,3.1060,3.1130,3.0750,3.0810,3.1060,260210876,804341780.0000,3,4.115844,1,-0.804900,1
2026-01-28,sh.510880,3.0820,3.1480,3.0720,3.1320,3.0810,329895023,1028739544.0000,3,5.097127,1,1.655300,1
2026-01-29,sh.510880,3.1340,3.1680,3.1200,3.1660,3.1320,225603099,709880740.0000,3,3.566466,1,1.085600,1
2026-01-30,sh.510880,3.1650,3.1960,3.1240,3.1440,3.1660,264593377,834801090.0000,3,4.219872,1,-0.694900,1
2026-02-02,sh.510880,3.1370,3.1380,3.0420,3.0460,3.1440,401047605,1235729327.0000,3,6.396624,1,-3.117000,1
2026-02-03,sh.510880,3.0490,3.0640,3.0280,3.0510,3.0460,237958217,724610538.0000,3,3.655174,1,0.164100,1
2026-02-04,sh.510880,3.0560,3.1530,3.0560,3.1500,3.0510,437466557,1363521066.0000,3,6.600603,1,3.244800,1
2026-02-05,sh.510880,3.1320,3.1430,3.1120,3.1360,3.1500,149211527,466573398.0000,3,2.360129,1,-0.444400,1
2026-02-06,sh.510880,3.1100,3.1410,3.1000,3.1260,3.1360,151344403,472796203.0000,3,2.399369,1,-0.318900,1
2026-02-09,sh.510880,3.1260,3.1460,3.1250,3.1440,3.1260,93180979,292349656.0000,3,1.485861,1,0.575800,1
2026-02-10,sh.510880,3.1440,3.1600,3.1320,3.1560,3.1440,118853689,374162405.0000,3,1.901149,1,0.381700,1
2026-02-11,sh.510880,3.1530,3.1920,3.1430,3.1830,3.1560,224707518,713970108.0000,3,3.614593,1,0.855500,1
2026-02-12,sh.510880,3.1850,3.1980,3.1690,3.1800,3.1830,142012267,452049042.0000,3,2.343175,1,-0.094300,1
2026-02-13,sh.510880,3.1700,3.1750,3.1340,3.1370,3.1800,148983293,469202890.0000,3,2.470425,1,-1.352200,1
2026-02-24,sh.510880,3.1520,3.1960,3.1520,3.1900,3.1370,217299547,691885851.0000,3,3.573902,1,1.689500,1
2026-02-25,sh.510880,3.1900,3.2370,3.1870,3.1940,3.1900,363803227,1167864053.0000,3,6.085014,1,0.125400,1
2026-02-26,sh.510880,3.1970,3.2110,3.1780,3.1950,3.1940,120777051,385766967.0000,3,2.099858,1,0.031300,1
2026-02-27,sh.510880,3.1930,3.2370,3.1900,3.2320,3.1950,206367498,665145099.0000,3,3.619101,1,1.158100,1
2026-03-02,sh.510880,3.2750,3.3060,3.2350,3.3030,3.2320,325190372,1065672481.0000,3,5.833350,1,2.196800,1
2026-03-03,sh.510880,3.3060,3.4040,3.2960,3.3670,3.3030,374115273,1253251550.0000,3,6.988008,1,1.937600,1
2026-03-04,sh.510880,3.3410,3.3410,3.2510,3.3040,3.3670,168292053,553439482.0000,3,3.285237,1,-1.871100,1
2026-03-05,sh.510880,3.2830,3.3120,3.2550,3.2910,3.3040,138530487,454326194.0000,3,2.711937,1,-0.393500,1
2026-03-06,sh.510880,3.2820,3.2900,3.2530,3.2850,3.2910,122717861,401360823.0000,3,2.404500,1,-0.182300,1
2026-03-09,sh.510880,3.3470,3.3730,3.3080,3.3090,3.2850,202199892,675842638.0000,3,3.969237,1,0.730600,1
2026-03-10,sh.510880,3.2560,3.2830,3.2400,3.2700,3.3090,129612243,423148675.0000,3,2.580285,1,-1.178600,1
2026-03-11,sh.510880,3.2630,3.3170,3.2400,3.3130,3.2700,134046487,439613998.0000,3,2.650357,1,1.315000,1
2026-03-12,sh.510880,3.3250,3.3920,3.3130,3.3810,3.3130,207427219,698295169.0000,3,4.113436,1,2.052500,1
2026-03-13,sh.510880,3.3800,3.4080,3.3580,3.3640,3.3810,204236448,690999168.0000,3,4.124176,1,-0.502800,1
2026-03-16,sh.510880,3.3650,3.3810,3.3300,3.3350,3.3640,113578600,379859829.0000,3,2.270584,1,-0.862100,1
2026-03-17,sh.510880,3.3250,3.3490,3.3080,3.3090,3.3350,112049787,372500010.0000,3,2.227552,1,-0.779600,1
2026-03-18,sh.510880,3.3080,3.3190,3.2610,3.2960,3.3090,118516785,389647686.0000,3,2.349577,1,-0.392900,1
2026-03-19,sh.510880,3.3060,3.3290,3.2960,3.3050,3.2960,134593615,445624309.0000,3,2.653829,1,0.273100,1
2026-03-20,sh.510880,3.2750,3.3290,3.2730,3.2960,3.3050,107415600,355018429.0000,3,2.116699,1,-0.272300,1
2026-03-23,sh.510880,3.3050,3.3060,3.2260,3.2340,3.2960,202280443,660155165.0000,3,4.008589,1,-1.881100,1
2026-03-24,sh.510880,3.2300,3.2700,3.2270,3.2690,3.2340,139870305,455037626.0000,3,2.753799,1,1.082300,1
2026-03-25,sh.510880,3.2500,3.2570,3.2100,3.2560,3.2690,157561500,509345306.0000,3,3.076667,1,-0.397700,1
2026-03-26,sh.510880,3.2510,3.2880,3.2480,3.2680,3.2560,114829500,375558985.0000,3,2.205428,1,0.368600,1
2026-03-27,sh.510880,3.2670,3.2830,3.2430,3.2670,3.2680,88778799,289198915.0000,3,1.713488,1,-0.030600,1
2026-03-30,sh.510880,3.2620,3.3040,3.2620,3.2990,3.2670,108153999,355809927.0000,3,2.075822,1,0.979500,1
2026-03-31,sh.510880,3.2930,3.3140,3.2480,3.2510,3.2990,159039900,519957179.0000,3,3.071350,1,-1.455000,1
2026-04-01,sh.510880,3.2480,3.2690,3.2360,3.2410,3.2510,132234201,429458774.0000,3,2.504827,1,-0.307600,1
2026-04-02,sh.510880,3.2400,3.2700,3.2380,3.2580,3.2410,100208745,326342217.0000,3,1.889243,1,0.524500,1
2026-04-03,sh.510880,3.2560,3.2590,3.2040,3.2160,3.2580,152336599,490888645.0000,3,2.884794,1,-1.289100,1
2026-04-07,sh.510880,3.2170,3.2320,3.1960,3.2280,3.2160,102118372,328441978.0000,3,1.901938,1,0.373100,1
2026-04-08,sh.510880,3.2100,3.2280,3.1860,3.2270,3.2280,171453300,549273612.0000,3,3.181438,1,-0.031000,1
2026-04-09,sh.510880,3.2220,3.2320,3.2020,3.2120,3.2270,79258200,254702266.0000,3,1.467018,1,-0.464800,1
2026-04-10,sh.510880,3.2110,3.2310,3.2050,3.2180,3.2120,83960572,270381505.0000,3,1.557515,1,0.186800,1
2026-04-13,sh.510880,3.2250,3.2330,3.2020,3.2230,3.2180,113707200,365930898.0000,3,2.112466,1,0.155400,1
2026-04-14,sh.510880,3.2160,3.2240,3.2050,3.2230,3.2230,99129016,318664154.0000,3,1.847121,1,0.000000,1
2026-04-15,sh.510880,3.2210,3.2420,3.2060,3.2400,3.2230,115504450,372895343.0000,3,2.135540,1,0.527500,1
2026-04-16,sh.510880,3.2300,3.2510,3.2300,3.2440,3.2400,94220260,305409124.0000,3,1.738485,1,0.123500,1
2026-04-17,sh.510880,3.2400,3.2440,3.2160,3.2180,3.2440,106833300,344442966.0000,3,1.961801,1,-0.801500,1
2026-04-20,sh.510880,3.2190,3.2350,3.2120,3.2250,3.2180,89628031,288666367.0000,3,1.628068,1,0.217500,1
2026-04-21,sh.510880,3.2240,3.2730,3.2220,3.2650,3.2250,218600872,712181256.0000,3,3.960752,1,1.240300,1
2026-04-22,sh.510880,3.2680,3.2810,3.2590,3.2690,3.2650,112700900,368498363.0000,3,2.029851,1,0.122500,1
2026-04-23,sh.510880,3.2690,3.2940,3.2530,3.2930,3.2690,121308325,397569032.0000,3,2.170027,1,0.734200,1
2026-04-24,sh.510880,3.2770,3.2920,3.2660,3.2800,3.2930,146004600,478523898.0000,3,2.608308,1,-0.394800,1
2026-04-27,sh.510880,3.2700,3.2930,3.2640,3.2750,3.2800,100852200,330541990.0000,3,1.778800,1,-0.152400,1
2026-04-28,sh.510880,3.2700,3.3260,3.2650,3.3250,3.2750,165336452,545846331.0000,3,2.900550,1,1.526700,1
2026-04-29,sh.510880,3.3150,3.3600,3.3130,3.3470,3.3250,139571871,466652880.0000,3,2.475260,1,0.661700,1
2026-04-30,sh.510880,3.3400,3.3570,3.3240,3.3410,3.3470,143435124,478767666.0000,3,2.562634,1,-0.179300,1
2026-05-06,sh.510880,3.3350,3.3420,3.3000,3.3410,3.3410,145180000,481710572.0000,3,2.585954,1,0.000000,1
2026-05-07,sh.510880,3.3270,3.3270,3.2680,3.2720,3.3410,293781100,964538060.0000,3,5.185737,1,-2.065200,1
2026-05-08,sh.510880,3.2730,3.2920,3.2500,3.2610,3.2720,159384137,519812739.0000,3,2.722339,1,-0.336200,1
2026-05-11,sh.510880,3.2610,3.2760,3.2530,3.2630,3.2610,146354012,477609074.0000,3,2.468578,1,0.061300,1
2026-05-12,sh.510880,3.2600,3.2840,3.2550,3.2570,3.2630,117147994,382461892.0000,3,1.958120,1,-0.183900,1
2026-05-13,sh.510880,3.2580,3.2710,3.2300,3.2440,3.2570,122094995,396171454.0000,3,2.034179,1,-0.399100,1
2026-05-14,sh.510880,3.2440,3.2460,3.2220,3.2230,3.2440,102244144,330506928.0000,3,1.692454,1,-0.647300,1
2026-05-15,sh.510880,3.2240,3.2440,3.2100,3.2230,3.2230,160566378,517776590.0000,3,2.650189,1,0.000000,1
2026-05-18,sh.510880,3.2200,3.2340,3.2000,3.2170,3.2230,188532470,605137252.0000,3,3.078244,1,-0.186200,1
2026-05-19,sh.510880,3.2170,3.2280,3.2080,3.2220,3.2170,96124900,309449822.0000,3,1.567294,1,0.155400,1
2026-05-20,sh.510880,3.2220,3.2300,3.2080,3.2150,3.2220,135717273,436881640.0000,3,2.207799,1,-0.217300,1
2026-05-21,sh.510880,3.2050,3.2150,3.1670,3.1720,3.2150,230279100,734993648.0000,3,3.723683,1,-1.337500,1
2026-05-22,sh.510880,3.1730,3.1750,3.1380,3.1560,3.1720,168086350,530077819.0000,3,2.656158,1,-0.504400,1
2026-05-25,sh.510880,3.1780,3.2190,3.1780,3.1850,3.1560,197291430,630135948.0000,3,3.072513,1,0.918900,1
2026-05-26,sh.510880,3.1780,3.1920,3.1630,3.1860,3.1850,124157400,394360503.0000,3,1.941726,1,0.031400,1
2026-05-27,sh.510880,3.1800,3.1830,3.1430,3.1700,3.1860,178428700,563920657.0000,3,2.788961,1,-0.502200,1
2026-05-28,sh.510880,3.1630,3.1930,3.1570,3.1700,3.1700,144437000,459099902.0000,3,2.246587,1,0.000000,1
2026-05-29,sh.510880,3.1650,3.2120,3.1620,3.2060,3.1700,213209600,681631366.0000,3,3.316540,1,1.135600,1
2026-06-01,sh.510880,3.2120,3.3150,3.2060,3.3070,3.2060,399834249,1309404277.0000,3,6.239440,1,3.150300,1
2026-06-02,sh.510880,3.3070,3.3650,3.2940,3.3080,3.3070,325440124,1082836907.0000,3,5.220259,1,0.030200,1
