日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-06-17 00:00:00,Short,COP,110.8,-0.48%,114.81,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,84.41-89.38-111.38-112.78-112.64,高-高-高-低,5.89%-24.61%-1.26%-0.13%,13.0,7.88,ConocoPhillips,1D
2026-06-17 00:00:00,Long,SOFI,18.35,3.62%,16.85,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,SoFi Technologies,1D
2026-06-17 00:00:00,Long,CEG,269.91,2.88%,254.07,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Constellation Energy,1D
2026-06-17 00:00:00,Long,CEG,269.91,2.88%,254.07,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 21}}",,,,,,,Constellation Energy,1D
2026-06-17 00:00:00,Long,IEFA,97.96,0.69%,96.44,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-86.86-97.24-96.65,低-高-低,nan%-11.95%-0.61%,42.0,5.67,iShares Core MSCI EAFE ETF,1D
2026-06-17 00:00:00,Long,SCCO,198.43,2.00%,186.1,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Southern Copper,1D
2026-06-17 00:00:00,Long,SCCO,198.43,2.00%,186.1,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,nan-138.79-212.78-220.52-195.93,低-高-高-低,nan%-53.31%-3.64%-11.15%,45.0,19.92,Southern Copper,1D
2026-06-17 00:00:00,Long,FCX,71.48,1.90%,66.78,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,nan-69.29-69.6-70.97,低-高-高,nan%-0.45%-1.97%,41.0,27.9,Freeport-McMoRan,1D
2026-06-17 00:00:00,Long,GS,1110.93,1.86%,1061.83,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Goldman Sachs,1D
2026-06-17 00:00:00,Long,EWZ,35.06,1.89%,34.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,iShares MSCI Brazil ETF,1D
