日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-06-18 00:00:00,Long,VRT,332.45,4.68%,310.74,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Vertiv,1D,,,,,,
2026-06-18 00:00:00,Long,VRTX,461.15,0.47%,448.55,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Vertex Pharmaceuticals,1D,压力释放,487.52-485.0-503.88-507.92-456.68,低-高-高-低,0.52%-3.89%-0.80%-10.09%,24.0,8.73
2026-06-18 00:00:00,Long,VRTX,461.15,0.47%,448.55,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Vertex Pharmaceuticals,1D,压力释放,nan-487.52-503.88-507.92-456.68,低-高-高-低,nan%-3.36%-0.80%-10.09%,24.0,8.73
2026-06-18 00:00:00,Short,WM,215.36,-0.23%,220.63,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Waste Management,1D,,,,,,
2026-06-18 00:00:00,Long,TER,428.93,4.99%,395.46,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Teradyne,1D,压力释放,150.48-191.26-204.84-344.79-421.95,高-高-高-高,27.11%-7.10%-68.32%-22.38%,38.0,39.84
2026-06-18 00:00:00,Short,COP,108.45,-2.48%,113.38,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ConocoPhillips,1D,支撑释放,84.41-89.38-111.38-112.78-112.64,高-高-高-低,5.89%-24.61%-1.26%-0.13%,14.0,7.88
2026-06-18 00:00:00,Long,BE,301.17,5.68%,270.9,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Bloom Energy,1D,,,,,,
2026-06-18 00:00:00,Long,VSH,66.16,9.66%,58.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Vishay Intertechnology,1D,,,,,,
2026-06-18 00:00:00,Long,AME,237.58,2.73%,228.98,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",AMETEK,1D,,,,,,
2026-06-18 00:00:00,Short,ACN,129.93,-16.72%,143.58,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Accenture,1D,一直亮红,235.43-255.83-187.14-185.43-155.82,高-低-低-低,8.66%-26.85%-0.92%-15.97%,25.0,27.07
