日期,代码,名称,现价,涨幅(%),成交量,换手(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2025-07-04,000504,*ST生物,9.67,6.5,411959.0,13.26,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",医疗服务,33.23,33.14,-6.0,-3.0,13.44,13.44,23.47,6.0,1.24,-1.14,0.1,8.79,1.86,-3.62,-2.28,-7.86,-6.83,-2.28,-1.03,0.21,5.79,-3.21,-3.31,-5.79,-6.31,-12.41,-4.86,-7.45,-8.58,-12.1,-8.48,-10.34
2025-07-04,000530,冰山冷热,6.97,19.39,5625734.0,93.76,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",通用设备,51.01,36.3,-6.14,-6.86,-4.56,-8.72,-6.71,-5.28,-4.42,-9.01,-8.29,-6.86,-9.58,-11.88,-12.31,-8.44,-12.02,-2.84,-3.99,1.47,0.03,-13.32,-11.74,8.5,17.54,10.94,2.47,5.06,6.06,2.33,6.63,-1.83
2025-07-04,000720,新能泰山,3.49,1.16,531098.0,4.23,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",电网设备,69.23,69.23,12.03,6.88,5.73,3.15,3.44,1.43,5.73,1.72,-1.43,0.57,-1.72,-5.16,-4.87,-4.3,-6.88,-0.29,-2.29,8.31,9.46,-3.72,0.29,-0.86,7.16,2.58,-4.01,-6.3,-4.58,4.3,8.6,4.58
2025-07-04,000823,超声电子,12.08,6.71,1780317.0,33.16,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",元件,70.94,70.93,2.07,2.4,1.08,5.05,7.45,12.58,14.57,19.7,10.35,13.91,17.14,13.0,14.9,13.49,-0.33,11.42,7.53,8.44,3.56,-3.48,1.82,19.12,15.4,7.86,13.49,12.25,18.13,18.79,23.68,18.13
2025-07-04,000825,太钢不锈,3.85,6.94,3325132.0,5.84,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",特钢Ⅱ,250.07,250.07,6.49,8.31,12.21,8.05,11.17,8.31,7.27,7.53,1.82,5.19,2.08,0.52,3.9,8.57,4.68,5.19,9.35,12.99,12.47,3.12,3.9,13.51,14.81,29.09,31.43,27.01,40.52,36.36,44.68,35.84
2025-07-04,000959,首钢股份,4.01,18.64,3966788.0,6.1,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",普钢,362.16,347.99,-0.25,1.0,7.73,2.99,6.23,2.99,3.99,3.74,1.0,12.22,14.21,0.25,6.23,9.48,2.0,2.49,4.74,12.47,13.47,5.49,3.49,12.47,6.98,14.21,22.94,22.19,22.19,29.68,41.15,41.15
2025-07-04,001227,兰州银行,2.56,2.76,4391971.0,10.43,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",银行Ⅱ,129.29,95.74,3.45,0.77,-1.19,-3.53,-3.14,-3.92,-1.97,-3.14,-5.48,-4.7,-5.48,-7.05,-7.83,-6.65,-6.26,-4.7,-6.26,-5.48,-3.53,-7.05,-7.83,-7.44,-9.39,-9.0,-9.0,-9.39,-8.61,-9.78,-9.39,-9.0
2025-07-04,002048,宁波华翔,18.06,5.83,2093645.0,29.5,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",汽车零部件,205.49,179.22,-3.46,5.74,7.35,11.06,15.43,26.01,27.78,51.03,66.31,77.72,88.46,103.46,114.26,117.36,73.68,81.65,83.53,71.85,61.5,52.31,52.53,52.47,54.19,51.2,59.89,74.17,68.42,78.33,94.66,82.92
2025-07-04,002203,海亮股份,10.37,3.81,490263.0,2.54,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",工业金属,339.64,327.84,-0.29,2.49,2.58,13.77,17.21,27.63,19.41,15.01,12.05,21.8,19.02,23.14,24.28,28.78,16.44,15.68,10.97,5.57,11.55,11.74,20.13,14.06,15.5,13.57,20.81,22.06,35.46,46.26,45.97,40.86
2025-07-04,002342,巨力索具,6.79,11.49,8460189.0,88.62,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",通用设备,118.75,118.1,8.98,5.74,5.74,2.06,10.6,30.49,27.84,27.84,18.11,18.85,14.43,7.07,8.54,11.19,19.59,23.71,16.2,16.64,11.34,5.15,6.77,7.22,6.77,6.48,20.32,35.49,61.71,67.01,99.41,116.49
2025-07-04,002443,金洲管道,6.49,2.04,908512.0,17.49,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",特钢Ⅱ,44.97,44.88,2.62,1.23,5.39,5.39,3.7,9.4,9.55,10.32,10.63,9.71,10.17,10.48,18.95,26.81,21.11,34.05,26.35,27.89,23.42,15.41,24.19,24.96,21.88,28.66,30.51,25.73,24.04,33.74,43.76,33.9
2025-07-04,002486,嘉麟杰,2.61,0.77,904733.0,10.94,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",服装家纺,24.07,23.96,2.68,3.83,6.51,3.45,8.81,4.98,7.28,2.3,8.81,9.58,8.05,3.83,4.21,5.36,3.83,10.73,15.71,19.92,25.67,13.79,23.37,20.31,14.56,18.39,20.69,19.16,18.39,15.33,23.37,18.77
2025-07-04,002551,尚荣医疗,3.88,4.57,1613900.0,26.41,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",医疗器械,30.27,21.88,1.8,-2.06,-1.54,0.52,19.59,25.52,19.33,10.31,7.48,9.03,6.19,1.04,1.29,2.07,1.55,4.9,2.32,2.84,7.22,-4.38,1.04,1.04,-6.96,-3.35,-4.64,-5.92,-1.28,-2.32,0.78,-2.32
2025-07-04,002623,亚玛顿,20.77,34.87,594048.0,29.91,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",光伏设备,44.49,44.4,28.74,10.59,6.55,4.72,3.51,3.27,9.97,1.2,11.07,8.67,-2.7,-5.3,-3.9,-3.95,-5.58,-3.8,-4.67,-2.7,-0.39,-11.46,-9.05,-11.51,-12.9,-13.34,-10.21,-12.86,-11.22,-10.45,-0.29,17.86
2025-07-04,002866,传艺科技,19.9,9.04,1790782.0,98.79,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",消费电子,61.87,38.74,-4.87,-7.84,-8.39,-10.3,-8.19,-6.08,-4.72,-8.89,-6.38,0.95,-3.22,-7.29,-3.92,-7.74,-15.03,-10.9,-6.38,-5.43,-1.16,-1.91,3.62,-1.01,-10.95,-13.62,-9.75,-9.5,-7.79,-5.13,-1.46,-4.77
2025-07-04,002913,奥士康,34.79,19.92,367156.0,13.84,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",元件,147.29,140.01,-1.84,1.35,-0.17,13.42,6.12,13.88,10.03,17.82,9.83,22.74,22.82,16.93,16.36,23.23,6.55,13.62,11.15,7.76,3.39,-5.86,-2.01,12.36,23.31,19.92,22.22,22.85,21.53,19.72,25.27,13.6
2025-07-04,002916,深南电路,115.9,7.36,737207.0,11.09,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",元件,1588.34,1550.2,1.37,13.55,13.87,16.9,15.19,25.72,29.35,70.84,57.25,68.57,68.74,78.21,86.92,87.05,69.41,83.85,85.06,92.2,72.84,62.3,68.72,63.89,65.9,83.56,90.15,100.42,100.39,100.74,113.52,101.55
2025-07-04,002926,华西证券,9.2,2.42,2804429.0,10.68,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",证券Ⅱ,217.35,217.35,1.83,5.16,10.42,8.89,7.16,13.98,17.12,17.12,7.7,8.46,6.62,2.94,11.16,11.06,5.43,6.94,9.22,6.4,6.83,4.34,4.67,3.91,2.07,2.61,2.83,0.87,1.74,-0.76,0.87,0.22
2025-07-04,002936,郑州银行,2.11,1.91,9005044.0,13.44,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",银行Ⅱ,170.93,132.15,5.17,2.33,1.86,-1.93,-0.51,-2.41,-0.51,-1.46,-3.83,-2.88,-3.35,-5.25,-6.2,-4.3,-4.3,-3.35,-4.78,-4.3,-1.93,-5.25,-5.25,-5.25,-8.09,-7.14,-7.62,-8.57,-8.09,-9.51,-9.51,-9.51
2025-07-04,002938,鹏鼎控股,36.89,14.57,2552655.0,11.07,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",元件,1163.2,1158.85,2.47,28.65,21.36,39.6,35.84,41.31,40.69,62.1,39.74,51.12,56.36,51.53,51.99,46.79,26.73,43.24,42.45,36.08,20.85,14.69,22.34,31.91,34.94,31.8,38.36,37.11,44.81,50.31,58.01,54.7
2025-07-04,300055,万邦达,5.96,4.74,1210984.0,19.14,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",炼化及贸易,94.05,71.13,2.52,5.7,6.38,4.36,7.55,7.38,10.4,2.01,-1.01,-0.84,-2.35,-4.36,-3.19,8.89,16.44,20.47,21.98,43.46,40.94,34.9,39.6,34.4,30.37,25.84,30.03,36.74,35.23,32.55,38.93,30.7
2025-07-04,300394,天孚通信,75.37,0.65,1856849.0,23.93,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",通信设备,2469.07,2464.11,11.85,20.4,14.04,42.74,33.1,42.72,62.61,162.68,147.16,145.63,149.41,130.66,122.64,109.9,94.49,136.17,109.65,132.19,106.28,96.8,109.63,163.7,185.47,183.97,183.02,169.38,164.03,162.7,150.98,229.61
2025-07-04,300572,安车检测,21.37,2.79,338530.0,18.44,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",专业服务,62.77,50.32,4.16,11.7,8.0,21.71,26.2,20.26,30.98,20.17,13.71,14.55,34.3,34.3,37.34,42.72,35.14,42.49,66.73,41.23,41.55,26.16,33.36,31.91,40.24,32.99,34.11,33.04,44.83,41.27,34.21,27.42
2025-07-04,300609,汇纳科技,34.45,4.27,338154.0,28.2,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",IT服务Ⅱ,40.71,40.64,2.76,8.27,9.32,22.06,34.66,53.27,53.85,53.7,35.41,34.69,25.25,12.8,15.21,10.28,4.7,15.82,18.37,18.26,16.31,17.5,29.2,17.01,10.33,8.88,9.99,11.96,27.78,24.76,23.6,13.58
2025-07-04,300970,华绿生物,14.74,5.44,222213.0,23.96,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",种植业,29.12,22.59,0.88,1.49,4.82,2.85,6.11,3.12,6.11,-4.48,-2.58,-1.7,-3.73,-3.66,2.1,1.36,1.7,13.5,14.04,19.06,23.07,13.5,19.4,17.37,10.45,18.52,30.6,39.15,43.35,50.95,51.7,58.28
2025-07-04,301259,艾布鲁,49.38,2.45,152469.0,15.42,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",环境治理,51.2,32.45,-3.14,-6.84,-11.6,-15.67,-14.6,-0.36,4.54,-5.04,-8.77,-10.73,-15.67,-18.79,-20.92,-23.27,-26.89,-26.81,-27.93,-32.08,-31.41,-34.99,-23.94,-29.28,-32.6,-33.33,-32.93,-33.07,-28.49,-29.93,-29.32,-33.48
2025-07-04,301330,熵基科技,27.73,7.81,629555.0,68.66,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",计算机设备,79.71,65.82,-0.79,0.69,-1.08,4.54,5.95,7.86,10.6,26.76,19.55,21.57,26.33,16.8,18.28,13.78,7.68,14.86,13.74,9.02,6.38,0.65,5.52,5.12,4.18,2.42,5.59,19.18,49.84,52.9,50.38,37.5
2025-07-04,301389,隆扬电子,31.78,29.81,993978.0,121.1,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",消费电子,150.0,44.75,4.48,3.76,2.73,35.03,58.62,65.6,65.44,139.04,108.02,112.37,133.9,91.89,89.32,77.73,62.63,91.58,80.56,79.9,71.65,52.49,66.81,63.34,61.71,58.4,77.5,71.75,68.1,66.4,60.48,56.67
2025-07-04,301658,首航新能,29.68,1.78,488814.0,126.22,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",光伏设备,213.65,21.36,26.31,15.87,12.47,10.95,16.58,19.41,17.96,14.22,32.01,20.62,21.19,13.04,18.56,13.88,3.71,7.04,7.35,12.4,17.08,-4.41,-1.11,-2.19,3.54,-1.08,0.24,-3.77,0.71,3.47,11.89,1.15
2025-07-04,600231,凌钢股份,2.06,18.39,2377650.0,8.43,,utb,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}}",普钢,57.85,57.12,-2.43,-3.4,2.43,-0.97,1.46,2.43,1.94,0.49,-2.91,1.94,2.91,-2.43,-0.97,6.31,17.48,12.14,14.08,13.59,23.79,11.65,10.19,5.83,-0.49,3.4,3.4,3.88,4.37,1.46,13.11,17.48
