日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-06-22 00:00:00,Long,VKTX,32.21,6.02%,29.03,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VIKING THERAPEUTICS INC,1D,,,,,,
2026-06-22 00:00:00,Long,VKTX,32.21,6.02%,29.03,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 36}}",VIKING THERAPEUTICS INC,1D,,,,,,
2026-06-22 00:00:00,Long,VKTX,32.21,6.02%,29.03,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VIKING THERAPEUTICS INC,1D,,,,,,
2026-06-22 00:00:00,Long,VKTX,32.21,6.02%,29.03,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 36}}",VIKING THERAPEUTICS INC,1D,,,,,,
2026-06-22 00:00:00,Long,SMCI,35.38,15.39%,28.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SUPER MICRO COMPUTER INC,1D,,,,,,
2026-06-22 00:00:00,Long,VRTX,463.45,2.62%,441.38,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VERTEX PHARMACEUTICALS INC,1D,压力释放,487.52-485.0-503.88-507.92-456.68,低-高-高-低,0.52%-3.89%-0.80%-10.09%,25.0,8.73
2026-06-22 00:00:00,Long,PGR,208.39,1.72%,198.44,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PROGRESSIVE CORP,1D,一直亮绿,223.14-217.28-214.86-208.46-206.84,低-低-低-低,2.63%-1.11%-2.98%-0.78%,22.0,9.32
2026-06-22 00:00:00,Long,PGR,208.39,1.72%,198.44,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PROGRESSIVE CORP,1D,一直亮绿,223.14-217.28-214.86-208.46-206.84,低-低-低-低,2.63%-1.11%-2.98%-0.78%,22.0,9.32
2026-06-22 00:00:00,Long,WYFI,44.6,15.88%,34.9,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WHITEFIBER INC,1D,一直释放,nan-40.75-23.91,低-低,nan%-41.33%,99.0,127.5
2026-06-22 00:00:00,Short,KHC,22.25,-2.52%,23.31,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KRAFT HEINZ CO/THE,1D,,,,,,
