日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-06-12,000099,中信海直,17.41,14.54,1204223.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航空机场,133.82,133.82,-8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,000513,丽珠集团,30.44,3.95,306157.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,302.51,193.57,-3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,000650,仁和药业,5.3,0.38,580527.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,79.8,75.89,-3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,000768,中航西飞,22.86,8.7,1426473.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航空装备Ⅱ,696.12,694.99,-9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,000800,一汽解放,6.36,4.09,1018219.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",商用车,322.34,322.32,-4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,000999,华润三九,24.85,2.64,505713.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,465.32,464.89,-5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,001227,兰州银行,2.15,1.9,2850251.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",银行Ⅱ,129.29,95.74,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,001696,宗申动力,22.84,59.03,5308046.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",通用设备,214.01,166.6,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002004,华邦健康,4.37,3.59,1151052.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,103.35,98.22,-5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002041,登海种业,8.7,2.72,653521.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",种植业,94.25,94.25,-1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002061,浙江交科,3.62,3.43,1100358.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",基础建设,104.3,101.37,-4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002088,鲁阳节能,8.95,3.47,171373.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",装修建材,51.47,50.73,-1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002085,万丰奥威,13.54,17.16,4326747.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",汽车零部件,297.9,297.9,-6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002312,川发龙蟒,8.88,4.07,2044590.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",农化制品,223.69,223.23,-5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002332,仙琚制药,8.61,3.24,632201.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,88.53,88.12,-3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002469,三维化学,7.34,16.51,1101240.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",专业工程,58.27,56.47,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002507,涪陵榨菜,11.79,1.9,492631.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",调味发酵品Ⅱ,144.12,143.5,-3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002583,海能达,9.55,9.14,3250691.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",通信设备,186.95,131.86,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002601,龙佰集团,15.34,10.12,2319555.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学原料,420.34,350.41,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002840,华统股份,8.26,2.99,1068930.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",食品加工,91.13,90.5,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002926,华西证券,8.08,2.67,850233.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,217.35,217.35,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,002978,安宁股份,26.91,0.34,189378.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",小金属,155.24,121.46,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,300377,赢时胜,14.88,11.63,1748194.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,138.26,127.21,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,300401,花园生物,13.9,22.79,1256319.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,77.39,76.13,19.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,300581,晨曦航空,13.16,22.76,1157202.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航空装备Ⅱ,71.51,71.51,-9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,300641,正丹股份,16.44,13.82,811939.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制品,111.73,111.73,11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,300722,新余国科,24.99,6.79,236471.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航天装备Ⅱ,79.84,79.84,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,300856,科思股份,11.98,3.79,414898.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化妆品,59.22,57.24,-7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,301035,润丰股份,52.12,2.56,104357.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",农化制品,215.86,215.53,-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,301177,迪阿股份,27.06,13.32,122478.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",饰品,112.0,111.92,-1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,302132,中航成飞,63.4,9.43,514859.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",军工电子Ⅱ,1822.9,399.82,-6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600061,国投资本,6.46,2.05,2004642.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",多元金融,439.91,439.91,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600062,华润双鹤,17.17,1.78,259163.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,192.03,191.0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600109,国金证券,8.49,7.47,2541676.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,309.77,309.77,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600178,东安动力,10.04,12.56,771382.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",汽车零部件,52.76,52.76,-9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600195,中牧股份,6.75,2.58,313179.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",动物保健Ⅱ,76.18,76.18,-5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600298,安琪酵母,36.7,6.07,443033.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",调味发酵品Ⅱ,356.37,351.95,-8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600315,上海家化,18.69,4.12,256590.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化妆品,138.41,138.41,-5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600369,西南证券,3.99,1.79,1948903.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,283.75,283.75,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600370,三房巷,1.46,6.57,3664728.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学纤维,101.31,101.31,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600511,国药股份,27.05,4.39,226936.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",医药商业,218.28,160.08,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600551,时代出版,7.42,2.06,197376.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",出版,53.63,53.63,-5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600567,山鹰国际,1.44,6.67,10294198.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",造纸,98.4,98.4,-7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600582,天地科技,5.29,2.63,1593587.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",专用设备,240.04,240.04,-7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600732,爱旭股份,12.7,13.29,3110752.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",光伏设备,321.61,318.91,-0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600765,中航重机,14.02,1.59,1048907.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航空装备Ⅱ,254.14,254.14,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600862,中航高科,18.65,5.77,1000533.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航空装备Ⅱ,296.86,296.86,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,600958,东方证券,9.24,2.9,2625954.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,774.04,680.47,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,601456,国联民生,9.41,7.91,3545107.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,517.5,397.96,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,601696,中银证券,11.54,6.56,1938425.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,341.42,341.42,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,601878,浙商证券,9.3,2.2,1472259.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",证券Ⅱ,445.49,445.49,-2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,601928,凤凰传媒,9.23,2.67,428328.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",出版,246.09,246.09,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,603027,千禾味业,7.95,2.58,638354.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",调味发酵品Ⅱ,127.85,119.84,-4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,603260,合盛硅业,43.36,16.12,970574.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制品,498.18,498.18,11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,603323,苏农银行,4.33,3.6,1459010.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",银行Ⅱ,98.71,98.71,-4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,603408,建霖家居,10.29,1.18,82407.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",家居用品,52.77,52.77,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,603528,多伦科技,7.13,3.33,735259.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",软件开发,56.9,56.9,-8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,603858,步长制药,15.22,1.13,236939.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,171.89,171.89,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,605116,奥锐特,19.94,7.13,188532.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",化学制药,108.37,108.37,-1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,605128,上海沿浦,23.74,5.42,397332.0,fit,suf,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",汽车零部件,68.94,68.94,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
