日期,信号,代码,名称,现价,涨幅,止损,策略,参组,参数,周期
2026-06-29 00:00:00,Short,00001,CKH HOLDINGS,65.0,-3.35%,71.21,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,00013,HUTCHMED,17.6,11.18%,14.55,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,00013,HUTCHMED,17.6,11.18%,14.55,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,00038,FIRST TRACTOR,7.01,9.53%,5.73,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,00038,FIRST TRACTOR,7.01,9.53%,5.73,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,00066,MTR CORPORATION,30.74,-0.65%,32.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Short,00100,MINIMAX-W,356.8,-16.44%,650.81,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
2026-06-29 00:00:00,Long,00136,CHINA RUYI,1.45,7.41%,1.21,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,00136,CHINA RUYI,1.45,7.41%,1.21,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,00142,FIRST PACIFIC,4.89,1.24%,4.47,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Long,00142,FIRST PACIFIC,4.89,1.24%,4.47,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",1WK
2026-06-29 00:00:00,Short,00148,KINGBOARD HLDG,102.3,-19.07%,150.23,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1WK
