日期,代码,名称,现价,涨幅(%),成交量,释放,TSQ,RSQ,STC,BSA,RPT,PSQ,换手(%),止损,挤压,判断,分数,条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-06-22,000050,深天马Ａ,9.28,3.8,1108174.0,压力释放,高-低-高-低,0.49%-1.84%-4.82%-19.72%,90.63[bull],39,17.12,10.3-10.35-10.16-10.65-8.55,5.0,8.45,15,📈ema📉adx🗒️rsi,n 32｜s 00｜d 4.90%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",光学光电子,197.36,197.35,7.65,15.52,11.85,6.47,2.16,6.79,3.45,4.63,-2.48,-7.11,-10.24,-15.3,-13.36,-16.49,-22.84,-23.6,-27.59,-28.66,-33.3,-33.73,-31.68,-32.22,,,,,,,,
2026-06-22,000060,中金岭南,8.81,9.99,4448663.0,压力释放,低-高-低-高,9.06%-58.42%-8.03%-3.18%,68.42[bull],29,27.74,6.4-5.82-9.22-8.48-8.75,10.0,7.63,14,📈ema📉adx🗒️rsi,n 26｜s 00｜d 2.95%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",工业金属,272.69,272.68,-9.99,-7.26,-9.65,-12.83,-11.24,-14.07,-13.17,-15.89,-17.93,-16.23,-22.02,-25.77,-26.33,-26.33,-30.65,-29.17,-31.9,-32.46,-29.4,-28.83,,,,,,,,,,
2026-06-22,000070,特发信息,22.8,9.99,398073.0,压力释放,高-低-高-高,40.12%-15.93%-51.50%-11.66%,8.51[bull],37,35.54,11.29-15.82-13.3-20.15-22.5,5.0,20.51,8,📈ema📉adx🗒️rsi,n 45｜s 00｜d 2.29%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通信设备,141.17,139.34,10.0,11.1,8.64,-2.24,-10.66,-8.6,-14.04,-21.49,-21.1,-17.59,-20.26,-23.6,-20.26,-21.05,-28.95,-35.18,-40.79,-43.64,-39.69,-41.36,,,,,,,,,,
2026-06-22,000960,锡业股份,45.91,9.99,1051655.0,一直释放,高-高-高-低,13.02%-83.23%-1.27%-13.16%,57.63[bull],29,27.65,23.27-26.3-48.19-48.8-42.38,6.0,40.77,9,📈ema📉adx🗒️rsi,n 24｜s 00｜d 2.66%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",小金属,534.77,534.77,-7.54,1.5,-3.25,-7.25,-2.35,-7.01,-7.82,-10.24,-11.83,-11.98,-18.73,-21.59,-18.82,-20.61,-25.55,-30.8,-34.63,-36.62,-32.22,-30.52,,,,,,,,,,
2026-06-22,002080,中材科技,84.32,4.68,742310.0,一直释放,低-高-高-高,8.70%-10.66%-30.98%-43.85%,75.2[bull],18,33.32,40.48-36.96-40.9-53.57-77.06,4.0,74.15,9,📈ema📉adx🗒️rsi,n 28｜s 00｜d 3.43%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",玻璃玻纤,672.59,672.59,-8.92,0.19,10.21,15.83,7.33,6.74,5.19,-2.49,0.91,-9.18,-11.88,-13.73,-11.35,-15.93,-20.97,-27.82,-33.76,-40.37,-36.4,-40.61,,,,,,,,,,
2026-06-22,002297,博云新材,31.2,10.01,395833.0,一直释放,低-高-高-高,9.37%-38.10%-7.56%-99.45%,55.69[bull],19,53.09,10.89-9.87-13.63-14.66-29.24,7.0,27.72,14,📈ema📉adx📈rsi,n 08｜s 00｜d 8.63%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",航空装备Ⅱ,61.9,61.9,5.19,7.88,6.12,-0.99,-7.79,-7.08,-9.74,-9.55,-11.6,-11.86,-18.27,-22.21,-21.38,-22.98,-30.67,-35.77,-41.79,-47.47,-43.14,-45.26,,,,,,,,,,
2026-06-22,300179,四方达,57.48,20.0,1084672.0,一直释放,低-高-高-高,13.85%-4.54%-71.30%-52.53%,93.88[bull],72,48.24,12.54-10.8-11.29-19.34-29.5,29.0,48.69,18,📈ema📈adx📈rsi,n 06｜s 00｜d 36.67%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,102.83,79.17,-0.85,3.69,7.86,-0.17,-6.12,3.39,-5.13,0.12,-4.92,-0.1,-3.62,-12.13,-11.85,-16.06,-25.71,-31.35,-37.23,-43.02,-35.93,-37.51,,,,,,,,,,
2026-06-22,300596,利安隆,50.38,3.77,97848.0,一直释放,高-高-高-低,3.20%-11.30%-13.07%-18.63%,12.63[bull],47,26.68,43.49-44.88-49.95-56.48-45.96,4.0,44.89,10,📈ema📈adx🗒️rsi,n 10｜s 00｜d 4.98%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",化学制品,97.2,94.41,-4.86,-1.09,-1.87,-5.92,-5.88,4.17,8.18,7.34,5.0,3.0,1.73,-2.98,-7.7,-10.06,-13.18,-24.43,-27.05,-28.46,-25.19,-26.1,,,,,,,,,,
2026-06-22,300623,捷捷微电,38.41,2.45,575748.0,压力释放,高-低-高-低,12.74%-6.20%-16.10%-0.70%,79.55[bull],17,27.3,31.48-35.49-33.29-38.65-38.38,8.0,35.44,9,📈ema📈adx🗒️rsi,n 25｜s 00｜d 2.54%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",半导体,228.07,210.35,10.0,10.34,8.12,4.63,9.5,17.13,9.11,4.17,0.23,-0.49,-0.23,1.67,4.09,-3.28,-6.59,-21.71,-29.0,-35.49,-28.85,-29.0,,,,,,,,,,
2026-06-22,300861,美畅股份,25.4,4.44,886056.0,一直释放,低-高-高,7.60%-12.17%-11.74%,53.47[bull],19,30.93,19.48-18.0-20.19-22.56,21.0,22.2,11,📈ema📉adx📈rsi,n 23｜s 00｜d 4.05%,fit,20-1.8-20-1.5,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""use_true_range"": true, ""min_sqz_bars"": 4}, ""stc"": {""stc_length"": 80, ""stc_fast_length"": 27, ""stc_slow_length"": 50, ""stc_factor"": 0.5}, ""ema"": {""ema_length"": 250}, ""rsi"": {""rsi_length"": 14, ""rsi_ma_length"": 14, ""rsi_smooth"": ""SMA""}, ""adx"": {""adx_length"": 14, ""adx_threshold"": 25}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0, ""atr_smooth"": ""RMA""}}",通用设备,108.97,68.43,-5.71,-0.94,-1.85,-2.83,-7.64,-0.83,-1.46,-4.92,-10.12,-13.46,-14.33,-20.94,-18.15,-13.58,-22.48,-23.86,-26.65,-31.02,-36.46,-40.43,-37.2,-38.54,,,,,,,,
