日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-20 00:00:00,Long,LOW,207.64,0.09%,185.05,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",LOWE'S COS INC,1WK
2026-07-20 00:00:00,Long,LOW,207.64,0.09%,185.05,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",LOWE'S COS INC,1WK
2026-07-20 00:00:00,Long,SF,80.82,4.74%,72.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",STIFEL FINANCIAL CORP,1WK
2026-07-20 00:00:00,Long,SM,33.19,5.97%,27.39,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SM ENERGY CO,1WK
2026-07-20 00:00:00,Short,PLPC,311.22,-4.95%,378.74,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PREFORMED LINE PRODUCTS CO,1WK
2026-07-20 00:00:00,Short,GNTX,22.9,-5.95%,25.95,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GENTEX CORP,1WK
2026-07-20 00:00:00,Short,PTRN,22.17,-21.13%,31.32,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PATTERN GROUP INC-CL A,1WK
2026-07-20 00:00:00,Long,FFAI,6.49,4743.28%,-0.73,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",FARADAY FUTURE INTELLIGENT E,1WK
2026-07-20 00:00:00,Long,FFAI,6.49,4743.28%,-0.73,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",FARADAY FUTURE INTELLIGENT E,1WK
2026-07-20 00:00:00,Long,NBBK,22.43,5.40%,19.44,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NB BANCORP INC,1WK
2026-07-20 00:00:00,Long,ONDS,7.8,19.54%,4.46,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",ONDAS INC,1WK
2026-07-20 00:00:00,Long,ONDS,7.8,19.54%,4.46,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",ONDAS INC,1WK
2026-07-20 00:00:00,Short,VICR,211.01,-11.20%,300.13,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VICOR CORP,1WK
