日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期
2026-07-27 00:00:00,Long,00001,73.6,2.22%,67.2,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CKH HOLDINGS,1WK
2026-07-27 00:00:00,Long,00002,78.1,0.71%,74.48,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CLP HOLDINGS,1WK
2026-07-27 00:00:00,Long,00008,5.88,1.91%,5.44,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PCCW,1WK
2026-07-27 00:00:00,Long,00019,99.5,5.46%,87.04,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SWIRE PACIFIC A,1WK
2026-07-27 00:00:00,Long,00027,34.2,8.16%,29.59,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GALAXY ENT,1WK
2026-07-27 00:00:00,Long,00027,34.2,8.16%,29.59,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 22}}",GALAXY ENT,1WK
2026-07-27 00:00:00,Long,00087,14.98,4.17%,13.42,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SWIRE PACIFIC B,1WK
2026-07-27 00:00:00,Long,00135,7.24,2.40%,6.61,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KUNLUN ENERGY,1WK
2026-07-27 00:00:00,Long,00136,1.44,5.11%,1.18,suf,参数一,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",CHINA RUYI,1WK
2026-07-27 00:00:00,Long,00136,1.44,5.11%,1.18,suf,参数二,"{""suf"": {""timeframe"": ""w"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",CHINA RUYI,1WK
