日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-07-31,000025,特  力Ａ,15.23,13.87,1415662.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",综合Ⅱ,68.88,62.77
2026-07-31,000049,德赛电池,24.4,4.41,2037343.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电池,105.47,105.44
2026-07-31,000059,华锦股份,4.63,23.47,8379468.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",炼化及贸易,88.29,88.29
2026-07-31,000088,盐 田 港,4.48,9.54,4933310.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",航运港口,238.14,144.86
2026-07-31,000156,华数传媒,7.0,10.94,2369158.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电视广播Ⅱ,136.56,125.28
2026-07-31,000400,许继电气,22.8,5.07,4947029.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电网设备,286.74,284.79
2026-07-31,000423,东阿阿胶,54.62,20.41,1460992.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,359.79,359.16
2026-07-31,000507,珠海港,5.06,8.12,3033548.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",电力,53.25,52.25
2026-07-31,000544,中原环保,7.44,6.74,1065546.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",环境治理,84.31,84.31
2026-07-31,000552,甘肃能化,2.59,15.62,14500837.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",煤炭开采,149.85,104.32
2026-07-31,000581,威孚高科,17.91,9.63,2049896.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",汽车零部件,199.45,163.77
2026-07-31,000589,贵州轮胎,4.37,7.64,5286097.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",汽车零部件,72.29,71.83
2026-07-31,000598,兴蓉环境,7.36,18.81,6815654.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",环境治理,204.7,204.38
2026-07-31,000650,仁和药业,5.43,9.58,5089389.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",中药Ⅱ,79.8,75.89
2026-07-31,000676,智度股份,7.49,46.58,26675844.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",广告营销,95.74,95.69
2026-07-31,000709,河钢股份,2.14,12.45,21228265.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",普钢,242.92,242.88
2026-07-31,000729,燕京啤酒,12.92,29.71,8333631.0,fit,suf,"{""suf"": {""timeframe"": ""m"", ""rsi_length"": 14, ""weekly_rsi_threshold"": 35, ""monthly_rsi_threshold"": 45}}",非白酒,366.97,326.75
