日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-07 00:00:00,Long,META,592.1,0.37%,562.4,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Meta Platforms,1D,,,,,,
2026-08-07 00:00:00,Long,ASML,1740.99,2.15%,1640.0,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",阿斯麦,1D,,,,,,
2026-08-07 00:00:00,Long,ASML,1740.99,2.15%,1640.0,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 10}}",阿斯麦,1D,,,,,,
2026-08-07 00:00:00,Long,APP,346.8,3.32%,308.1,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",APP AppLovin,1D,,,,,,
2026-08-07 00:00:00,Long,APP,346.8,3.32%,308.1,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",APP AppLovin,1D,,,,,,
2026-08-07 00:00:00,Long,KWEB,28.66,0.99%,27.86,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",中概网络股ETF,1D,一直亮绿,39.21-37.73-30.73-30.74-28.61,低-低-高-低,3.78%-18.56%-0.04%-6.91%,46.0,23.18
2026-08-07 00:00:00,Long,RKLB,82.83,9.46%,70.7,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",RKLB,1D,,,,,,
2026-08-07 00:00:00,Long,RKLB,82.83,9.46%,70.7,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 31}}",RKLB,1D,,,,,,
2026-08-07 00:00:00,Long,FLY,26.71,11.01%,22.08,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FLY,1D,,,,,,
2026-08-07 00:00:00,Long,FLY,26.71,11.01%,22.08,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 37}}",FLY,1D,,,,,,
