日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,交易所,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-11 08:00:00,Long,CL-USDT,83.27,1.93%,77.86,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CL,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,XRP-USDT,1.0,-0.70%,1.05,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",XRP,1D,Binance,一直亮红,1.27-1.28-1.34-1.05-1.01,高-高-低-低,0.61%-5.26%-21.96%-3.90%,46.0,17.43
2026-08-11 08:00:00,Long,BZ-USDT,88.42,1.80%,82.88,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BZ,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,BLUAI-USDT,0.03,-13.79%,0.04,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",BLUAI,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,BLUAI-USDT,0.03,-13.79%,0.04,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",BLUAI,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,TST-USDT,0.02,-27.53%,0.03,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TST,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,TST-USDT,0.02,-27.53%,0.03,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",TST,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,TST-USDT,0.02,-27.53%,0.03,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",TST,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,RKLB-USDT,73.93,-0.56%,80.63,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",RKLB,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,MUBARAK-USDT,0.02,-18.42%,0.02,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MUBARAK,1D,Binance,,,,,,
2026-08-11 08:00:00,Long,ICP-USDT,2.3,0.66%,2.19,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ICP,1D,Binance,,,,,,
2026-08-11 08:00:00,Long,ICP-USDT,2.3,0.66%,2.19,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",ICP,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,BOME-USDT,0.0,-9.17%,0.0,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",BOME,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,BOME-USDT,0.0,-9.17%,0.0,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",BOME,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,1000SHIB-USDT,0.0,-0.13%,0.0,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",1000SHIB,1D,Binance,,,,,,
2026-08-11 08:00:00,Long,BTR-USDT,0.03,44.25%,0.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BTR,1D,Binance,,,,,,
2026-08-11 08:00:00,Long,LIT-USDT,2.46,3.03%,2.17,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",LIT,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,XMR-USDT,395.15,-0.64%,415.06,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",XMR,1D,Binance,,,,,,
2026-08-11 08:00:00,Short,XMR-USDT,395.15,-0.64%,415.06,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",XMR,1D,Binance,,,,,,
2026-08-11 08:00:00,Long,GUN-USDT,0.0,9.53%,0.0,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GUN,1D,Binance,,,,,,
2026-08-11 08:00:00,Long,GUN-USDT,0.0,9.53%,0.0,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 91}}",GUN,1D,Binance,,,,,,
