日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-03 00:00:00,Short,00002,76.9,-1.54%,80.51,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CLP HOLDINGS,1WK,,,,,,
2026-08-03 00:00:00,Short,00002,76.9,-1.54%,80.51,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CLP HOLDINGS,1WK,,,,,,
2026-08-03 00:00:00,Long,00053,70.5,0.36%,68.41,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GUOCO GROUP,1WK,,,,,,
2026-08-03 00:00:00,Long,00065,0.3,20.00%,0.22,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GRAND OCEAN AR,1WK,,,,,,
2026-08-03 00:00:00,Long,00065,0.3,20.00%,0.22,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 34}}",GRAND OCEAN AR,1WK,,,,,,
2026-08-03 00:00:00,Long,00075,0.17,8.86%,0.15,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",Y.T. REALTY,1WK,,,,,,
2026-08-03 00:00:00,Long,00075,0.17,8.86%,0.15,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 30}}",Y.T. REALTY,1WK,,,,,,
2026-08-03 00:00:00,Short,00079,0.12,-22.67%,0.15,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CENTURY LEGEND,1WK,,,,,,
2026-08-03 00:00:00,Short,00079,0.12,-22.67%,0.15,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",CENTURY LEGEND,1WK,,,,,,
2026-08-03 00:00:00,Short,00079,0.12,-22.67%,0.15,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",CENTURY LEGEND,1WK,,,,,,
2026-08-03 00:00:00,Long,00098,6.7,5.51%,6.08,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",XINGFA ALUM,1WK,,,,,,
2026-08-03 00:00:00,Long,00098,6.7,5.51%,6.08,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",XINGFA ALUM,1WK,,,,,,
2026-08-03 00:00:00,Long,00145,0.23,11.22%,0.18,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CCIAM FUTURE EN,1WK,,,,,,
2026-08-03 00:00:00,Long,00154,0.41,1.23%,0.35,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",BE ENVIRONMENT,1WK,,,,,,
2026-08-03 00:00:00,Long,00154,0.41,1.23%,0.35,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",BE ENVIRONMENT,1WK,,,,,,
