日期,代码,名称,现价,涨幅(%),成交量,换手(%),吸筹天数,吸筹强度,均线偏离,均线斜率,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-08-17,000551,创元科技,15.51,10.0,348446.0,7.19,29,43.32%,+8.97%,+28.47%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",环保设备Ⅱ,64.23,64.2
2026-08-17,002028,思源电气,183.15,10.0,132473.0,2.17,74,25.31%,+9.41%,+56.74%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",电网设备,1626.54,1269.16
2026-08-17,002213,大为股份,30.93,2.86,104869.0,5.07,31,81.16%,+3.77%,+43.99%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",半导体,72.84,63.35
2026-08-17,002443,金洲管道,9.59,5.38,304579.0,5.85,53,55.0%,+4.43%,+27.94%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",特钢Ⅱ,44.97,44.88
2026-08-17,002824,和胜股份,25.98,4.09,219399.0,9.7,29,100.0%,+9.65%,+32.79%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",工业金属,58.5,41.36
2026-08-17,300304,云意电气,12.89,2.87,181750.0,2.13,41,100.0%,+0.62%,+22.01%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",汽车零部件,116.88,113.74
2026-08-17,300657,弘信电子,38.14,5.04,339243.0,7.24,50,34.12%,+9.37%,+21.68%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",元件,140.97,136.99
2026-08-17,300672,国科微,196.0,12.57,186325.0,8.86,28,37.19%,+11.00%,+103.76%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",半导体,369.07,357.57
2026-08-17,300852,四会富仕,49.1,8.15,91132.0,5.88,37,19.39%,+7.98%,+29.51%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",元件,71.19,68.72
2026-08-17,301179,泽宇智能,20.75,1.97,41176.0,1.73,45,100.0%,+3.35%,+28.29%,,mfa,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false, ""utb_window"": 1}, ""mfa"": {""recent"": 100, ""active"": 25}, ""trend"": {""ema"": 200, ""distance"": 0.12, ""trend_period"": 150, ""pullback_days"": 10}}",电网设备,94.43,55.46
