日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期
2026-08-17 00:00:00,Long,COP,134.87,7.09%,117.26,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,125.25-109.12-101.25-96.6-133.97,低-低-低-高,12.88%-7.21%-4.59%-38.68%,20.0,31.33,康菲石油,1WK
2026-08-17 00:00:00,Long,COP,134.87,7.09%,117.26,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,康菲石油,1WK
2026-08-17 00:00:00,Long,XOM,165.11,3.80%,150.25,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,埃克森美孚,1WK
2026-08-17 00:00:00,Long,EWH,23.35,4.29%,21.66,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,香港ETF-iShares MSCI,1WK
2026-08-17 00:00:00,Short,JOBY,7.53,-4.92%,9.38,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮红,5.08-4.5-4.66-4.96-7.75,低-高-高-高,11.42%-3.56%-6.44%-56.25%,20.0,60.97,JOBY,1WK
2026-08-17 00:00:00,Long,NOW,128.48,3.61%,103.37,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,现在服务,1WK
2026-08-17 00:00:00,Long,ADBE,275.3,4.27%,227.06,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,Adobe,1WK
2026-08-17 00:00:00,Long,ADBE,275.3,4.27%,227.06,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 54}}",,,,,,,Adobe,1WK
2026-08-17 00:00:00,Long,BMNR,22.83,26.27%,14.24,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BMNR,1WK
2026-08-17 00:00:00,Long,BMNR,22.83,26.27%,14.24,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 12}}",,,,,,,BMNR,1WK
2026-08-17 00:00:00,Short,XLU,42.77,-3.48%,46.26,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,SPDR公共事业ETF,1WK
2026-08-17 00:00:00,Long,CRM,209.17,6.61%,171.88,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,赛富时,1WK
2026-08-17 00:00:00,Long,CRM,209.17,6.61%,171.88,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 40}}",,,,,,,赛富时,1WK
2026-08-17 00:00:00,Long,TM,197.35,3.27%,177.54,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,丰田汽车,1WK
2026-08-17 00:00:00,Long,TM,197.35,3.27%,177.54,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 15}}",,,,,,,丰田汽车,1WK
2026-08-17 00:00:00,Short,METU,18.31,-13.55%,25.5,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",支撑释放,nan-19.41-25.01-18.49,低-高-低,nan%-28.85%-26.07%,21.0,73.58,METU,1WK
2026-08-17 00:00:00,Long,BITO,10.41,22.47%,7.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BITO,1WK
2026-08-17 00:00:00,Long,BITO,10.41,22.47%,7.72,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 12}}",,,,,,,BITO,1WK
2026-08-17 00:00:00,Long,GILD,146.12,5.61%,128.64,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,吉利德,1WK
2026-08-17 00:00:00,Long,XLE,63.64,2.79%,58.81,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,46.09-85.38-46.34-45.61-63.01,高-低-低-高,85.25%-45.72%-1.59%-38.15%,20.0,19.74,SPDR能源ETF,1WK
2026-08-17 00:00:00,Long,XLE,63.64,2.79%,58.81,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,42.55-46.09-85.38-45.61-63.01,高-高-低-高,8.31%-85.25%-46.58%-38.15%,20.0,19.74,SPDR能源ETF,1WK
2026-08-17 00:00:00,Long,UBER,78.8,3.75%,68.16,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,优步,1WK
2026-08-17 00:00:00,Long,UBER,78.8,3.75%,68.16,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 36}}",,,,,,,优步,1WK
2026-08-17 00:00:00,Long,GDX,102.83,14.29%,79.69,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,金矿指数ETF-Market Vectors 美交所,1WK
2026-08-17 00:00:00,Long,MRNA,145.13,129.20%,46.08,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,MRNA,1WK
2026-08-17 00:00:00,Long,MRNA,145.13,129.20%,46.08,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-115.97-170.47-35.59-59.55,低-高-低-高,nan%-46.99%-79.12%-67.32%,24.0,36.33,MRNA,1WK
2026-08-17 00:00:00,Long,MRNA,145.13,129.20%,46.08,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,MRNA,1WK
2026-08-17 00:00:00,Long,MRNA,145.13,129.20%,46.08,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-115.97-170.47-35.59,低-高-低,nan%-46.99%-79.12%,56.0,59.74,MRNA,1WK
2026-08-17 00:00:00,Long,TEM,72.69,39.52%,40.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,TEM,1WK
2026-08-17 00:00:00,Long,TEM,72.69,39.52%,40.04,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,TEM,1WK
