日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-25 00:00:00,Short,00012,29.82,-1.19%,30.83,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",HENDERSON LAND,1D,,,,,,
2026-08-25 00:00:00,Short,00012,29.82,-1.19%,30.83,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",HENDERSON LAND,1D,,,,,,
2026-08-25 00:00:00,Short,00023,17.31,-2.04%,18.73,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",BANK OF E ASIA,1D,,,,,,
2026-08-25 00:00:00,Short,00023,17.31,-2.04%,18.73,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",BANK OF E ASIA,1D,,,,,,
2026-08-25 00:00:00,Long,00026,59.3,0.85%,58.35,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CHINA MOTOR BUS,1D,,,,,,
2026-08-25 00:00:00,Short,00035,0.66,-0.75%,0.68,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FE CONSORT INTL,1D,,,,,,
2026-08-25 00:00:00,Short,00040,0.65,-3.70%,0.66,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GOLD PEAK,1D,,,,,,
2026-08-25 00:00:00,Short,00040,0.65,-3.70%,0.66,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",GOLD PEAK,1D,支撑释放,nan-0.66-0.62-0.6-0.65,低-低-低-高,nan%-6.58%-3.23%-8.33%,27.0,9.23
2026-08-25 00:00:00,Long,00042,0.23,4.48%,0.23,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",NE ELECTRIC,1D,,,,,,
2026-08-25 00:00:00,Long,00042,0.23,4.48%,0.23,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",NE ELECTRIC,1D,,,,,,
2026-08-25 00:00:00,Short,00050,4.99,-1.09%,5.15,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",HK FERRY (HOLD),1D,,,,,,
