日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-31 00:00:00,Short,MTH,67.37,-5.19%,75.8,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MERITAGE HOMES CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,BIRK,33.79,-5.22%,40.38,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BIRKENSTOCK HOLDING PLC,1WK,,,,,,
2026-08-31 00:00:00,Short,TFIN,68.94,-4.06%,77.66,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TRIUMPH FINANCIAL INC,1WK,,,,,,
2026-08-31 00:00:00,Short,HURC,21.28,-7.20%,24.65,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",HURCO COMPANIES INC,1WK,,,,,,
2026-08-31 00:00:00,Short,HURC,21.28,-7.20%,24.65,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",HURCO COMPANIES INC,1WK,,,,,,
2026-08-31 00:00:00,Long,SBC,4.23,4.44%,3.57,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SBC MEDICAL GROUP HOLDINGS I,1WK,,,,,,
2026-08-31 00:00:00,Long,VAI,2.02,18.13%,1.21,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",VALOR ENERGY INCORPORATED,1WK,,,,,,
2026-08-31 00:00:00,Short,THC,258.53,-3.10%,294.0,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",TENET HEALTHCARE CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,THC,258.53,-3.10%,294.0,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",TENET HEALTHCARE CORP,1WK,,,,,,
2026-08-31 00:00:00,Long,LAB,0.67,5.20%,0.51,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",STANDARD BIOTOOLS INC,1WK,,,,,,
2026-08-31 00:00:00,Long,LAB,0.67,5.20%,0.51,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",STANDARD BIOTOOLS INC,1WK,,,,,,
2026-08-31 00:00:00,Short,PFX,46.31,-12.14%,55.19,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",PHENIXFIN CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,PFX,46.31,-12.14%,55.19,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",PHENIXFIN CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,THFF,78.77,-0.59%,83.8,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",FIRST FINANCIAL CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,THFF,78.77,-0.59%,83.8,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",FIRST FINANCIAL CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,XPL,0.57,-30.43%,0.92,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SOLITARIO RESOURCES CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,XPL,0.57,-30.43%,0.92,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SOLITARIO RESOURCES CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,WKC,35.13,-0.90%,38.3,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",WORLD KINECT CORP,1WK,,,,,,
2026-08-31 00:00:00,Long,WTRG,41.55,1.09%,38.72,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ESSENTIAL UTILITIES INC,1WK,压力释放,35.34-38.6-39.48-40.86-41.08,高-高-高-高,9.20%-2.30%-3.49%-0.54%,25.0,14.81
2026-08-31 00:00:00,Short,KO,88.24,-1.58%,93.24,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",COCA-COLA CO/THE,1WK,,,,,,
2026-08-31 00:00:00,Short,KO,88.24,-1.58%,93.24,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",COCA-COLA CO/THE,1WK,,,,,,
2026-08-31 00:00:00,Long,BG,122.86,6.39%,100.72,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BUNGE GLOBAL SA,1WK,,,,,,
2026-08-31 00:00:00,Short,EYE,16.82,-3.22%,20.45,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NATIONAL VISION HOLDINGS INC,1WK,,,,,,
2026-08-31 00:00:00,Long,KYNB,8.53,6.36%,6.86,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KYNTRA BIO INC,1WK,,,,,,
2026-08-31 00:00:00,Short,KBH,52.08,-5.07%,58.62,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",KB HOME,1WK,,,,,,
2026-08-31 00:00:00,Short,UNP,289.73,-5.31%,320.15,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",UNION PACIFIC CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,UNP,289.73,-5.31%,320.15,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",UNION PACIFIC CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,RDIB,14.87,-18.79%,21.97,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",READING INTERNATIONAL INC-B,1WK,,,,,,
2026-08-31 00:00:00,Short,RDIB,14.87,-18.79%,21.97,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",READING INTERNATIONAL INC-B,1WK,,,,,,
2026-08-31 00:00:00,Short,DDOG,209.23,-11.71%,268.74,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DATADOG INC - CLASS A,1WK,,,,,,
2026-08-31 00:00:00,Short,HGV,42.17,-3.74%,47.35,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HILTON GRAND VACATIONS INC,1WK,,,,,,
2026-08-31 00:00:00,Long,EPSN,6.31,4.82%,5.59,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EPSILON ENERGY LTD,1WK,,,,,,
2026-08-31 00:00:00,Short,NEWP,6.68,-5.25%,7.84,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",NEW PACIFIC METALS CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,NEWP,6.68,-5.25%,7.84,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",NEW PACIFIC METALS CORP,1WK,,,,,,
2026-08-31 00:00:00,Short,MAMA,15.63,-4.58%,18.17,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MAMA'S CREATIONS INC,1WK,,,,,,
2026-08-31 00:00:00,Short,REYN,22.53,-6.32%,25.75,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",REYNOLDS CONSUMER PRODUCTS I,1WK,,,,,,
2026-08-31 00:00:00,Short,CXM,6.95,-14.83%,8.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPRINKLR INC-A,1WK,,,,,,
2026-08-31 00:00:00,Short,TILE,36.85,-4.48%,41.16,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",INTERFACE INC,1WK,,,,,,
2026-08-31 00:00:00,Short,TILE,36.85,-4.48%,41.16,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",INTERFACE INC,1WK,,,,,,
