日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,交易所,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-08-31 08:00:00,Short,BTR-USDT,0.05,-71.68%,0.26,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BTR,1W,Binance,,,,,,
2026-08-31 08:00:00,Short,BTR-USDT,0.05,-71.68%,0.26,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",BTR,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,ARB-USDT,0.12,46.28%,0.06,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ARB,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,ARB-USDT,0.12,46.28%,0.06,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 31}}",ARB,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,USELESS-USDT,0.13,84.66%,0.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",USELESS,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,USELESS-USDT,0.13,84.66%,0.04,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",USELESS,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,XMR-USDT,503.45,3.19%,420.64,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",XMR,1W,Binance,,,,,,
2026-08-31 08:00:00,Short,CYS-USDT,0.34,-60.14%,1.33,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CYS,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,CRV-USDT,0.36,21.00%,0.24,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CRV,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,CRV-USDT,0.36,21.00%,0.24,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",CRV,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,EGLD-USDT,4.97,32.33%,2.91,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EGLD,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,EGLD-USDT,4.97,32.33%,2.91,mfa,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 31}}",EGLD,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,EGLD-USDT,4.97,32.33%,2.91,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",EGLD,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,EGLD-USDT,4.97,32.33%,2.91,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 31}}",EGLD,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,DOT-USDT,0.86,4.98%,0.62,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",DOT,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,DOT-USDT,0.86,4.98%,0.62,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",DOT,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,APT-USDT,0.58,11.63%,0.34,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",APT,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,APT-USDT,0.58,11.63%,0.34,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",APT,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,MORPHO-USDT,2.5,2.96%,2.03,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",MORPHO,1W,Binance,压力释放,nan-2.86-2.42,低-低,nan%-15.57%,14.0,52.89
2026-08-31 08:00:00,Long,STX-USDT,0.26,11.93%,0.19,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",STX,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,STX-USDT,0.26,11.93%,0.19,mfa,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""mfa"": {""mfa_all"": 14}}",STX,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,CAKE-USDT,1.82,0.62%,1.58,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",CAKE,1W,Binance,压力释放,nan-5.25-4.52-4.6-1.67,低-低-高-低,nan%-13.90%-1.84%-63.79%,20.0,48.09
2026-08-31 08:00:00,Long,PIEVERSE-USDT,1.14,12.48%,0.74,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PIEVERSE,1W,Binance,,,,,,
2026-08-31 08:00:00,Short,OPEN-USDT,0.11,-16.58%,0.19,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",OPEN,1W,Binance,支撑释放,nan-0.13,低,nan%,31.0,118.91
2026-08-31 08:00:00,Long,TWT-USDT,0.53,14.84%,0.38,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TWT,1W,Binance,,,,,,
2026-08-31 08:00:00,Short,PRL-USDT,0.13,-22.78%,0.27,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PRL,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,GRT-USDT,0.02,0.93%,0.01,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",GRT,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,GRT-USDT,0.02,0.93%,0.01,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",GRT,1W,Binance,,,,,,
2026-08-31 08:00:00,Short,TAG-USDT,0.0,-16.36%,0.0,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",TAG,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,IOTX-USDT,0.0,9.97%,0.0,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",IOTX,1W,Binance,,,,,,
2026-08-31 08:00:00,Long,IOTX-USDT,0.0,9.97%,0.0,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",IOTX,1W,Binance,,,,,,
2026-08-31 08:00:00,Short,SUN-USDT,0.02,-2.46%,0.02,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SUN,1W,Binance,,,,,,
