日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,交易所,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-09-06 08:00:00,Long,DOGE-USDT,0.09,1.39%,0.08,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DOGE,1D,Binance,,,,,,
2026-09-06 08:00:00,Short,AKE-USDT,0.02,-2.26%,0.02,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",AKE,1D,Binance,,,,,,
2026-09-06 08:00:00,Short,AKE-USDT,0.02,-2.26%,0.02,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",AKE,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,NEAR-USDT,2.21,0.82%,2.03,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",NEAR,1D,Binance,压力释放,1.44-3.08-2.56-2.12-2.15,高-低-低-高,113.94%-16.95%-17.45%-1.56%,15.0,35.26
2026-09-06 08:00:00,Short,4-USDT,0.02,-23.99%,0.04,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",4,1D,Binance,,,,,,
2026-09-06 08:00:00,Short,4-USDT,0.02,-23.99%,0.04,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",4,1D,Binance,,,,,,
2026-09-06 08:00:00,Short,4-USDT,0.02,-23.99%,0.04,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",4,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,SUSHI-USDT,0.26,0.82%,0.23,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SUSHI,1D,Binance,压力释放,0.24-0.21-0.18-0.18-0.22,低-低-高-高,15.28%-13.17%-0.39%-22.64%,15.0,20.43
2026-09-06 08:00:00,Long,UAI-USDT,0.68,35.83%,0.39,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",UAI,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,FIL-USDT,0.83,4.91%,0.73,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",FIL,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,DOT-USDT,0.92,0.93%,0.87,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",DOT,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,APT-USDT,0.62,0.96%,0.57,mfa,参数一,"{""mfa"": {""mfa_all"": 40}}",APT,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,APT-USDT,0.62,0.96%,0.57,mfa,参数二,"{""mfa"": {""mfa_all"": 40}}",APT,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,HBAR-USDT,0.08,1.24%,0.08,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",HBAR,1D,Binance,,,,,,
2026-09-06 08:00:00,Long,STRK-USDT,0.03,6.08%,0.03,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",STRK,1D,Binance,压力释放,0.06-0.04-0.03-0.03-0.03,低-低-低-低,40.29%-14.97%-1.95%-2.87%,15.0,27.18
2026-09-06 08:00:00,Long,TIA-USDT,0.38,1.08%,0.35,mfa,参数一,"{""mfa"": {""mfa_all"": 45}}",TIA,1D,Binance,,,,,,
