日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期,交易所
2026-09-17 08:00:00,Long,SPCX-USDT,153.85,1.17%,146.28,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-228.0-149.72,低-低,nan%-34.33%,31.0,14.67,SPCX,1D,Binance
2026-09-17 08:00:00,Short,BZ-USDT,98.4,-2.06%,104.88,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,BZ,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.31,97.11%,0.13,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.31,97.11%,0.13,mfa,参数一,"{""mfa"": {""mfa_all"": 14}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.31,97.11%,0.13,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,AVA-USDT,0.31,97.11%,0.13,mfa,参数二,"{""mfa"": {""mfa_all"": 14}}",,,,,,,AVA,1D,Binance
2026-09-17 08:00:00,Long,LIT-USDT,4.95,7.59%,4.14,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,nan-1.23-2.77,低-高,nan%-125.09%,73.0,42.48,LIT,1D,Binance
2026-09-17 08:00:00,Long,LITE-USDT,946.72,1.82%,867.23,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,LITE,1D,Binance
2026-09-17 08:00:00,Long,VVV-USDT,24.86,4.86%,21.11,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直释放,8.4-9.97-21.54-14.86-18.66,高-高-低-高,18.66%-116.09%-30.99%-25.55%,21.0,18.76,VVV,1D,Binance
2026-09-17 08:00:00,Long,GENIUS-USDT,0.44,46.28%,0.28,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,GENIUS,1D,Binance
