日期,信号,代码,现价,涨幅,止损,策略,参组,参数,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,名称,周期,交易所
2026-09-14 08:00:00,Long,BR-USDT,0.64,102.07%,0.11,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-0.27,低,nan%,26.0,402.87,BR,1W,Binance
2026-09-14 08:00:00,Long,DOGE-USDT,0.08,-1.08%,0.06,mfa,参数一,"{""mfa"": {""mfa_all"": 16}}",,,,,,,DOGE,1W,Binance
2026-09-14 08:00:00,Long,DOGE-USDT,0.08,-1.08%,0.06,mfa,参数二,"{""mfa"": {""mfa_all"": 16}}",,,,,,,DOGE,1W,Binance
2026-09-14 08:00:00,Long,ENA-USDT,0.15,12.02%,0.1,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",一直亮绿,nan-1.33-0.87-0.14,低-低-低,nan%-34.29%-83.96%,19.0,100.75,ENA,1W,Binance
2026-09-14 08:00:00,Long,ONE-USDT,0.0,64.51%,0.0,suf,参数一,"{""suf"": {""timeframe"": ""w""}}",,,,,,,ONE,1W,Binance
2026-09-14 08:00:00,Long,ONE-USDT,0.0,64.51%,0.0,suf,参数二,"{""suf"": {""timeframe"": ""w""}}",,,,,,,ONE,1W,Binance
2026-09-14 08:00:00,Long,AVA-USDT,0.3,74.58%,0.1,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AVA,1W,Binance
2026-09-14 08:00:00,Long,AVA-USDT,0.3,74.58%,0.1,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AVA,1W,Binance
2026-09-14 08:00:00,Short,AIN-USDT,0.02,-65.53%,0.25,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",,,,,,,AIN,1W,Binance
2026-09-14 08:00:00,Long,VVV-USDT,24.86,16.03%,17.28,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,nan-4.73-21.54,低-高,nan%-355.21%,15.0,119.71,VVV,1W,Binance
2026-09-14 08:00:00,Long,COTI-USDT,0.02,17.80%,0.01,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",压力释放,0.11-0.28-0.19-0.06-0.02,高-低-低-低,151.67%-30.74%-67.33%-74.46%,21.0,124.34,COTI,1W,Binance
2026-09-14 08:00:00,Long,ZEN-USDT,6.96,13.65%,4.58,mfa,参数一,"{""mfa"": {""mfa_all"": 17}}",,,,,,,ZEN,1W,Binance
2026-09-14 08:00:00,Long,ZEN-USDT,6.96,13.65%,4.58,mfa,参数二,"{""mfa"": {""mfa_all"": 17}}",,,,,,,ZEN,1W,Binance
