日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-09-11,000793,*ST华闻,2.11,4.46,985111.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",出版,52.53,51.57
2026-09-11,000980,众泰汽车,2.12,30.06,20078354.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",汽车零部件,123.54,123.27
2026-09-11,002204,大连重工,5.68,9.86,2750548.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",专用设备,127.28,127.28
2026-09-11,002531,天顺风能,7.22,16.45,3819223.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",风电设备,195.68,194.59
2026-09-11,300207,欣旺达,18.47,9.68,2903290.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",电池,511.38,474.39
2026-09-11,300290,荣科科技,8.44,54.01,2494902.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",IT服务Ⅱ,90.91,90.88
2026-09-11,301155,海力风电,40.18,8.27,268341.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",风电设备,164.37,93.26
2026-09-11,600720,中交设计,5.27,1.35,441831.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",工程咨询服务Ⅱ,154.89,68.11
2026-09-11,600734,实达集团,2.31,33.53,5830801.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",IT服务Ⅱ,82.56,82.54
2026-09-11,603606,东方电缆,35.65,4.64,699067.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",电网设备,397.16,397.16
2026-09-11,603826,坤彩科技,16.02,1.39,822799.0,fit,suf,"{""suf"": {""timeframe"": ""w""}}",非金属材料Ⅱ,165.04,165.04
