日期,信号,代码,相距SMA,现价,涨幅,止损,策略,参组,参数,名称,周期,SMA,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅
2026-09-21 00:00:00,Short,PBAM,,88.36,-0.81%,91.5,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",PRIVATE BANCORP OF AMERICA I,1D,,,,,,,
2026-09-21 00:00:00,Long,DAKT,-14.19,17.66,1.44%,16.55,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",DAKTRONICS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,DAKT,-14.19,17.66,1.44%,16.55,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",DAKTRONICS INC,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,XPOF,-40.7,3.88,6.30%,3.38,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",XPONENTIAL FITNESS INC-A,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,XPOF,-40.7,3.88,6.30%,3.38,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",XPONENTIAL FITNESS INC-A,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,POET,,8.41,7.82%,7.48,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",POET TECHNOLOGIES INC,1D,,,,,,,
2026-09-21 00:00:00,Long,SHAK,-26.95,56.96,3.79%,52.38,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",SHAKE SHACK INC - CLASS A,1D,200.0,,,,,,
2026-09-21 00:00:00,Long,SHAK,-26.95,56.96,3.79%,52.38,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",SHAKE SHACK INC - CLASS A,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,VLO,57.91,393.27,-4.84%,433.05,suf,参数一,"{""suf"": {""timeframe"": ""d""}}",VALERO ENERGY CORP,1D,200.0,,,,,,
2026-09-21 00:00:00,Short,VLO,57.91,393.27,-4.84%,433.05,suf,参数二,"{""suf"": {""timeframe"": ""d""}}",VALERO ENERGY CORP,1D,200.0,,,,,,
