日期,信号,代码,现价,涨幅,止损,策略,参组,参数,名称,周期,释放类型,支撑压力价格,支撑压力趋势,支撑压力涨幅,区间K线数量,区间K线振幅,SMA,相距SMA
2026-09-21 00:00:00,Long,ARM,322.9,17.16%,274.25,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ARM,1D,,,,,,,,
2026-09-21 00:00:00,Long,ARM,322.9,17.16%,274.25,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",ARM,1D,压力释放,nan-134.25-166.69-452.7-299.29,低-高-高-低,nan%-24.16%-171.58%-33.89%,30.0,32.74,,
2026-09-21 00:00:00,Long,ASML,1711.32,1.87%,1622.03,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",阿斯麦,1D,,,,,,,,
2026-09-21 00:00:00,Long,BABA,115.75,2.22%,110.19,mfa,参数一,"{""mfa"": {""mfa_all"": 13}}",阿里巴巴,1D,,,,,,,,
2026-09-21 00:00:00,Long,BABA,115.75,2.22%,110.19,mfa,参数二,"{""mfa"": {""mfa_all"": 13}}",阿里巴巴,1D,,,,,,,,
2026-09-21 00:00:00,Long,QQQ,741.47,2.88%,717.59,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳百ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,QQQ,741.47,2.88%,717.59,sqz,参数一,"{""sqz"": {""bb_length"": 15, ""bb_mult"": 1.5, ""kc_length"": 15, ""kc_mult"": 1.2, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳百ETF,1D,压力释放,nan-634.44-747.05-744.67-733.82,低-高-低-低,nan%-17.75%-0.32%-1.46%,24.0,4.94,,
2026-09-21 00:00:00,Long,QQQ,741.47,2.88%,717.59,sqz,参数二,"{""sqz"": {""bb_length"": 20, ""bb_mult"": 1.8, ""kc_length"": 20, ""kc_mult"": 1.5, ""min_sqz_bars"": 4}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",纳百ETF,1D,压力释放,nan-634.44-747.05-733.82,低-高-低,nan%-17.75%-1.77%,24.0,4.94,,
2026-09-21 00:00:00,Long,SPY,773.5,1.55%,759.01,utb,参数一,"{""utb"": {""key_value"": 2, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 10, ""srb_right"": 10}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPDR标普500 ETF,1D,,,,,,,,
2026-09-21 00:00:00,Long,SPY,773.5,1.55%,759.01,utb,参数二,"{""utb"": {""key_value"": 3, ""atr_period"": 14, ""use_ha"": false}, ""r&s"": {""srb_left"": 15, ""srb_right"": 15}, ""atr"": {""atr_length"": 14, ""atr_mult"": 1.0}}",SPDR标普500 ETF,1D,,,,,,,,
