日期,代码,名称,现价,涨幅(%),成交量,离SMA200(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-08-04,000657,中钨高新,52.21,8.79,809797.0,7.94,,suf,"{""suf"": {""timeframe"": ""d""}}",小金属,1107.86,706.41,10.0,19.71,28.35,39.44,30.53,34.9,27.75,30.8,35.01,39.71,26.72,23.44,30.51,27.87,22.22,20.69,29.36,27.87,26.03,19.38,14.48,14.96,10.4,14.92,14.65,15.88,13.81,12.09,13.33,19.19
2026-08-04,001268,联合精密,19.15,6.92,32573.0,-42.95,,suf,"{""suf"": {""timeframe"": ""d""}}",家电零部件Ⅱ,31.88,18.59,2.45,1.83,2.09,2.04,1.04,2.09,3.45,6.74,5.74,7.68,2.92,5.07,6.42,17.08,16.55,28.2,35.51,34.78,35.35,37.81,34.36,32.11,29.3,35.87,33.94,31.85,30.97,26.79,25.59,25.69
2026-08-04,001309,德明利,364.18,4.35,247688.0,-8.56,,suf,"{""suf"": {""timeframe"": ""d""}}",半导体,866.3,614.37,6.06,6.61,10.98,10.06,10.11,11.92,8.88,11.54,19.56,20.09,8.13,9.31,13.99,9.93,9.02,7.28,18.01,17.81,19.86,14.79,13.39,11.23,7.45,10.93,14.45,12.49,14.84,10.59,6.51,5.99
2026-08-04,002077,大港股份,11.98,3.9,388399.0,-26.88,,suf,"{""suf"": {""timeframe"": ""d""}}",半导体,95.87,95.87,4.34,5.09,6.76,6.26,5.26,7.85,4.51,6.01,9.43,9.02,2.84,2.42,2.5,0.83,1.34,1.17,4.17,3.51,5.93,5.51,4.92,4.34,2.59,3.76,4.26,14.69,17.28,15.03,15.61,14.02
2026-08-04,002080,中材科技,44.37,9.99,402629.0,-7.24,,suf,"{""suf"": {""timeframe"": ""d""}}",玻璃玻纤,672.59,672.59,10.01,16.11,27.47,28.1,27.95,28.47,25.67,35.07,39.73,35.45,21.91,20.78,21.5,11.4,10.43,12.55,18.28,18.12,20.24,14.6,14.47,12.17,6.92,13.14,12.4,13.88,14.6,16.11,18.98,21.19
2026-08-04,002134,天津普林,19.64,6.22,100006.0,-18.67,,suf,"{""suf"": {""timeframe"": ""d""}}",元件,49.78,49.74,4.18,7.08,14.82,14.66,14.87,16.75,13.8,13.65,15.38,14.0,7.69,7.59,8.25,5.6,6.57,4.74,15.22,12.37,17.41,14.56,20.42,18.08,13.39,13.9,11.41,12.63,14.05,18.23,25.81,23.88
2026-08-04,002222,福晶科技,52.92,7.96,334150.0,-24.38,,suf,"{""suf"": {""timeframe"": ""d""}}",光学光电子,307.54,306.17,10.0,12.53,17.29,15.53,19.29,23.77,20.35,22.75,27.83,30.14,17.12,20.16,22.09,18.29,20.46,22.64,27.8,28.78,33.22,27.65,25.83,25.15,21.69,29.04,25.64,25.68,26.32,22.68,22.01,19.92
2026-08-04,002272,川润股份,13.9,5.06,294788.0,-21.41,,suf,"{""suf"": {""timeframe"": ""d""}}",通用设备,85.63,68.25,4.6,5.11,6.33,4.96,5.61,13.24,7.91,8.78,12.45,17.84,6.04,3.88,12.16,10.79,15.76,17.99,20.94,18.35,22.3,20.94,21.94,29.06,21.51,22.37,19.28,20.14,16.19,13.6,18.78,21.08
2026-08-04,002289,*ST宇顺,31.32,10.01,64660.0,-6.97,,suf,"{""suf"": {""timeframe"": ""d""}}",光学光电子,72.5,72.42,3.32,7.6,8.84,19.73,18.36,20.91,18.45,18.55,30.4,37.71,30.75,32.5,32.22,25.06,25.13,23.75,23.66,21.36,23.4,22.0,17.27,17.5,13.86,16.19,14.78,16.79,16.83,12.07,18.1,13.28
2026-08-04,002796,世嘉科技,26.81,10.01,49001.0,-28.74,,suf,"{""suf"": {""timeframe"": ""d""}}",通信设备,112.86,101.83,3.84,8.84,13.2,16.37,15.63,19.43,17.42,18.28,20.74,20.59,8.62,11.49,12.83,9.74,10.03,10.03,12.57,10.78,14.25,9.21,9.29,11.64,6.12,12.23,10.41,8.36,7.5,5.11,4.59,2.76
