日期,代码,名称,现价,涨幅(%),成交量,条件,参组,参数,行业,总市值(亿),流通市值(亿)
2026-09-21,000423,东阿阿胶,45.6,0.75,52613.0,,suf,"{""suf"": {""timeframe"": ""d""}}",中药Ⅱ,359.79,359.16
2026-09-21,000682,东方电子,10.73,0.09,82433.0,,suf,"{""suf"": {""timeframe"": ""d""}}",电网设备,169.33,169.31
2026-09-21,002085,万丰奥威,9.64,0.63,279520.0,,suf,"{""suf"": {""timeframe"": ""d""}}",汽车零部件,297.9,297.9
2026-09-21,002737,葵花药业,11.51,2.31,59072.0,,suf,"{""suf"": {""timeframe"": ""d""}}",中药Ⅱ,72.36,72.36
2026-09-21,300124,汇川技术,52.84,0.74,271824.0,,suf,"{""suf"": {""timeframe"": ""d""}}",自动化设备,1855.53,1643.98
2026-09-21,600076,康欣新材,2.3,5.02,789035.0,,suf,"{""suf"": {""timeframe"": ""d""}}",包装印刷,49.61,49.61
2026-09-21,600132,重庆啤酒,38.11,0.9,23628.0,,suf,"{""suf"": {""timeframe"": ""d""}}",非白酒,275.38,275.38
2026-09-21,600221,海航控股,1.25,0.81,2477681.0,,suf,"{""suf"": {""timeframe"": ""d""}}",航空机场,630.95,625.54
2026-09-21,600328,中盐化工,5.79,2.66,228012.0,,suf,"{""suf"": {""timeframe"": ""d""}}",化学原料,141.94,141.94
2026-09-21,600535,天士力,14.07,1.52,137678.0,,suf,"{""suf"": {""timeframe"": ""d""}}",中药Ⅱ,217.22,217.22
2026-09-21,603379,三美股份,51.71,1.11,69943.0,,suf,"{""suf"": {""timeframe"": ""d""}}",化学制品,385.58,385.58
2026-09-21,603515,欧普照明,14.78,1.51,16805.0,,suf,"{""suf"": {""timeframe"": ""d""}}",照明设备Ⅱ,141.06,139.76
